META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-06 02:19:08 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 9; 33/4; 8; 37/5; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-14 22:18:55 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 3/10; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 3/11; 3/10; ; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 49/11; 17/4; ; 22/5; 9/2; 9/2; 9/2; 9/2; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 9; 9; 9; ; 10; 9; 17/2; 33/4; 8; ; 17/2; 17/2; 10; 9; 33/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-15 02:18:59 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; 5/18; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 50/11; ; 4; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 17/2; 8; 37/5; 17/2; 17/2; 10; 9; 35/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-15 10:18:54 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; ; 2/7; 3/10; ; 3/10; 30/100; 2/7; 5/18; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; ; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; ; 9; 9; ; 10; 9; 9; 17/2; 8; 37/5; 17/2; 17/2; 10; 9; 35/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-15 14:19:06 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 50/11; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 23/5; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-15 18:19:00 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-15 22:18:39 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 22/5; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 02:18:18 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 2/7; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 10:19:00 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 14:19:01 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 9/2; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 50/11; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 18:19:06 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; ; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 5/18; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; ; 8; 37/5; 17/2; 17/2; 10; 9; ; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-16 22:19:02 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; ; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; ; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; ; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 9; 8; 37/5; 17/2; 17/2; 10; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-17 02:18:53 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 47/10; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 9; 8; 37/5; 17/2; 17/2; 10; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-17 10:19:00 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 26/5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 9/2; 19/4; 9/2; 47/10; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 19/2; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 9; 8; 37/5; 17/2; 17/2; 19/2; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-17 14:19:12 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 8/25; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 5; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; 9; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 9; 8; 37/5; 17/2; 17/2; 10; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-17 18:18:58 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; ; 9; 17/2; 10; 9; 9; ; 10; 9; 9; 9; 8; 37/5; 17/2; 17/2; 10; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-17 22:18:44 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 8/25; 3/10; 2/7; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 23/5; 17/4; 43/10; 22/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; ; 9; 17/2; 10; 9; 9; ; 9; 9; 9; 9; 8; 37/5; 17/2; 17/2; 10; 9; 9; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-18 02:18:35 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 31/100; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 26/5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 19/4; 9/2; 9/2; 47/10; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; ; 9; 17/2; 10; 9; 9; ; 9; 9; 9; 37/4; 8; 37/5; 17/2; 9; 10; 9; 37/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-18 10:18:35 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 31/100; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 26/5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 19/4; 9/2; 9/2; 47/10; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; ; 9; 17/2; 10; 9; 9; ; 9; 9; 9; 37/4; 8; 37/5; 17/2; 9; 10; 9; 37/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-18 14:18:42 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 31/100; 3/10; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 
Draw; 9/2; 17/4; 17/4; 9/2; 26/5; 9/2; ; 4; 9/2; 17/4; 9/2; 4; ; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 19/4; 9/2; 9/2; 47/10; ; 23/5; ; 
Leganes; 17/2; 9; 10; 9; 10; 10; 19/2; 9; 17/2; 10; 9; 9; ; 9; 9; 9; 37/4; 8; 37/5; 17/2; 9; 10; 9; 37/4; ; 9; ; 
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-18 18:18:26 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/7; 3/10; 5/18; 2/7; 3/10; 2/7; 1/4; 1/4; 5/18; 2/7; 2/7; 3/10; 3/10; 3/10; 30/100; 2/7; 2/7; 3/10; 2/7; 5/18; 3/10; 2/7; 2/7; 2/7; ; 1/4; ; 2/7
Draw; 9/2; 17/4; 17/4; 9/2; 53/10; 9/2; ; 9/2; 9/2; 9/2; 9/2; 4; 9/2; 17/4; 9/2; 9/2; 79/17; 17/4; 43/10; 22/5; 19/4; 9/2; 9/2; 47/10; ; 23/5; ; 5
Leganes; 17/2; 9; 10; 9; 21/2; 10; 19/2; 9; 17/2; 10; 9; 9; 9; 9; 9; 10; 37/4; 8; 37/5; 17/2; 9; 10; 9; 37/4; ; 9; ; 49/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-18 22:18:12 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 3/10; 1/4; 2/7; 27/100; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 1/4; 3/10; 1/4; 2/7; 1/4; 4/17; 5/19; ; 1/4; 1/4; 1/4; 2/9; 4/17; ; 1/4; ; 1/4
Draw; 5; 17/4; 19/4; 9/2; 28/5; 5; 5; 9/2; 5; 24/5; 5; 9/2; 9/2; 19/4; 5; 5; 96/19; 19/4; ; 24/5; 5; 5; 5; 51/10; ; 23/5; ; 26/5
Leganes; 11; 9; 12; 9; 12; 13; 11; 11; 21/2; 12; 11; 11; 9; 11; 9; 11; 11; 9; ; 21/2; 10; 12; 14; 45/4; ; 52/5; ; 56/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 02:18:10 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 1/4; 1/4; 2/7; 27/100; 2/9; 2/9; 1/5; 1/4; 1/4; 2/9; 1/4; 3/10; 1/4; 1/4; 1/4; 3/13; 5/19; 4/17; 1/4; 1/4; 2/9; 2/9; 3/13; ; 1/4; ; 1/4
Draw; 5; 5; 24/5; 9/2; 53/10; 11/2; 5; 5; 5; 5; 5; 9/2; 9/2; 19/4; 11/2; 5; 51/10; 19/4; 24/5; 24/5; 21/4; 11/2; 5; 67/13; ; 24/5; ; 26/5
Leganes; 11; 9; 12; 9; 27/2; 13; 12; 11; 21/2; 12; 12; 10; 9; 11; 9; 11; 49/4; 35/4; 43/5; 21/2; 10; 12; 14; 25/2; ; 10; ; 64/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 10:18:07 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 1/5; 1/4; 1/4; 2/7; 7/25; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 1/4; 3/10; 1/4; 2/7; 1/4; ; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; ; 1/4; ; 1/4
Draw; 5; 5; 24/5; 9/2; 53/10; 5; 5; 5; 5; 24/5; 5; 9/2; 9/2; 19/4; 5; 5; 49/10; 19/4; 27/5; 24/5; 5; 21/4; 5; 94/19; ; 23/5; ; 26/5
Leganes; 14; 9; 11; 9; 25/2; 12; 11; 10; 21/2; 12; 11; 11; 9; 11; 9; 11; 23/2; 35/4; 21/2; 21/2; 10; 10; 12; 47/4; ; 54/5; ; 61/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 14:18:24 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 1/4; 1/4; 2/7; 29/100; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 1/4; 3/10; 2/7; 2/7; 1/4; ; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; ; 1/4; ; 2/7
Draw; 19/4; 5; 19/4; 9/2; 5; 5; 5; 5; 5; 19/4; 5; 9/2; 9/2; 19/4; 5; 5; 49/10; 19/4; 27/5; 24/5; 5; 21/4; 5; 94/19; ; 23/5; ; 5
Leganes; 12; 9; 11; 9; 25/2; 12; 11; 10; 21/2; 11; 11; 10; 9; 11; 9; 11; 23/2; 35/4; 21/2; 21/2; 9; 21/2; 12; 23/2; ; 54/5; ; 59/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 18:18:37 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 2/7; 1/4; 2/7; 3/10; 1/4; 2/9; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 1/4; 5/19; 5/19; 5/18; 1/4; 3/10; 1/4; 1/4; 5/19; ; 1/4; ; 2/7
Draw; 19/4; 17/4; 9/2; 9/2; 5; 5; 19/4; 5; 5; 9/2; 9/2; 9/2; ; 19/4; 5; 9/2; 47/10; 19/4; 5; 24/5; 19/4; 5; 19/4; 19/4; ; 23/5; ; 24/5
Leganes; 12; 9; 11; 9; 23/2; 12; 11; 10; 21/2; 11; 11; 10; ; 11; 9; 11; 11; 35/4; 19/2; 21/2; 9; 11; 14; 45/4; ; ; ; 59/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-19 22:18:38 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 2/7; 1/4; 2/7; 2/7; 1/4; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 2/7; 3/11; 5/19; 5/18; 1/4; 3/10; 2/7; 1/4; 3/11; ; 1/4; ; 2/7
Draw; 19/4; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 5; 5; 9/2; 9/2; 9/2; ; 19/4; 5; 9/2; 23/5; 19/4; 5; 24/5; 19/4; 5; 19/4; 79/17; ; 23/5; ; 24/5
Leganes; 12; 9; 11; 9; 23/2; 12; 11; 10; 21/2; 11; 11; 10; ; 11; 9; 10; 43/4; 35/4; 19/2; 21/2; 9; 12; 14; 43/4; ; 54/5; ; 59/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 02:18:26 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 2/9; 2/7; 1/4; 2/7; 2/7; 1/4; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 2/7; 3/11; 5/18; 5/18; 1/4; 3/10; 2/7; 2/7; 3/11; ; 2/7; ; 3/10
Draw; 19/4; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 5; 5; 9/2; 9/2; 9/2; ; 19/4; 5; 9/2; 23/5; 5; 5; 24/5; 19/4; 5; 19/4; 79/17; ; 24/5; ; 24/5
Leganes; 12; 9; 11; 9; 23/2; 12; 11; 10; 21/2; 11; 11; 10; ; 11; 9; 10; 43/4; 9; 19/2; 21/2; 9; 12; 10; 43/4; ; 54/5; ; 59/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 10:18:32 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 1/4; 2/7; 1/4; 2/7; 2/7; 1/4; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; ; 2/7; 2/7; 2/7; 5/19; 5/18; 5/18; 1/4; 3/10; 2/7; 2/7; 5/19; ; 1/4; ; 3/10
Draw; 5; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 5; 5; 9/2; 9/2; 9/2; ; 19/4; 5; 9/2; 19/4; 5; 5; 24/5; 19/4; 5; 9/2; 24/5; ; 24/5; ; 
Leganes; 11; 9; 11; 9; 23/2; 12; 10; 10; 21/2; 11; 11; 10; ; 11; 9; 10; 43/4; 9; 19/2; 21/2; 9; 12; 11; 11; ; 54/5; ; 4/11
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 14:18:44 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 1/4; 2/7; 5/18; 2/7; 29/100; 1/4; 1/4; 2/9; 5/19; 2/7; 2/7; 2/7; ; 3/10; 30/100; 2/7; 3/11; 5/18; 2/7; 5/19; 3/10; 2/7; 3/10; 3/11; ; 3/10; ; 3/10
Draw; 5; 9/2; 9/2; 9/2; 51/10; 5; 9/2; 5; 19/4; 9/2; 9/2; 9/2; ; 9/2; 9/2; 9/2; 23/5; 5; 49/10; 23/5; 19/4; 5; 9/2; 47/10; ; 23/5; ; 24/5
Leganes; 10; 9; 10; 9; 12; 12; 10; 10; 11; 10; 10; 9; ; 10; 9; 10; 10; 9; 9; 21/2; 17/2; 21/2; 10; 41/4; ; 52/5; ; 51/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 18:18:43 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 3/10; 2/7; 5/18; 2/7; 31/100; 3/10; 2/7; 1/4; 6/17; 1/3; 1/3; 1/3; ; 7/20; 7/20; 3/10; 1/3; 5/18; 10/29; 6/17; 1/3; 1/3; 7/20; 10/29; ; 1/3; ; 1/3
Draw; 9/2; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 9/2; 39/10; 4; 4; 15/4; ; 17/4; 4; 9/2; 54/13; 19/4; 22/5; 39/10; 17/4; 19/4; 4; 54/13; ; 21/5; ; 21/5
Leganes; 8; 9; 10; 9; 23/2; 10; 9; 10; 15/2; 17/2; 17/2; 17/2; ; 17/2; 8; 9; 8; 19/2; 8; 15/2; 15/2; 17/2; 17/2; 33/4; ; 17/2; ; 42/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-20 22:18:35 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 1/3; 1/3; 4/11; 2/7; 19/50; 1/3; 7/20; 3/10; 1/3; 1/3; 1/3; 4/11; ; 2/5; 4/11; 4/11; 6/17; 6/17; 3/8; 6/19; 1/3; 4/11; 4/11; 6/17; ; 1/3; ; 4/11
Draw; 17/4; 19/5; 19/5; 9/2; 9/2; 9/2; 4; 4; 22/5; 4; 4; 15/4; ; 4; 17/4; 4; 41/10; 17/4; 41/10; 43/10; 4; 22/5; 17/4; 54/13; ; 21/5; ; 21/5
Leganes; 15/2; 7; 15/2; 9; 41/5; 17/2; 15/2; 8; 8; 8; 15/2; 7; ; 15/2; 7; 15/2; 15/2; 15/2; 71/10; 8; 7; 8; 7; 15/2; ; 17/2; ; 38/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-21 02:18:38 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
Real Madrid; 1/3; 1/3; 4/11; 4/11; 39/100; 1/3; 7/20; 3/10; 4/11; 4/11; 1/3; 4/11; ; 4/11; 4/11; 4/11; 7/19; 6/17; 3/8; 6/17; 1/3; 4/11; 4/11; 7/19; ; 4/11; ; 4/11
Draw; 17/4; 19/5; 19/5; 15/4; 9/2; 9/2; 4; 4; 21/5; 4; 4; 15/4; ; 4; 17/4; 4; 75/19; 17/4; 41/10; 21/5; 4; 17/4; 17/4; 75/19; ; 21/5; ; 21/5
Leganes; 15/2; 7; 15/2; 7; 39/5; 17/2; 15/2; 8; 15/2; 8; 15/2; 7; ; 8; 7; 15/2; 29/4; 15/2; 71/10; 15/2; 7; 8; 15/2; 29/4; ; 17/2; ; 41/5
META; spain/la-liga-primera/leganes-v-real-madrid; 2018-02-21 10:18:32 GMT+2; 2018-02-21 17:45; Nothing; Xlenovo
