META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-20 14:19:25 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 14; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-29 22:23:49 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-30 02:20:52 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/6; 2/11; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 12; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-30 14:22:33 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 1/5; ; ; 2/11; ; ; ; ; ; ; 1/7; 2/11; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 6; ; ; 13/2; ; ; ; ; ; ; 6; 11/2; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 14; ; ; 13; ; ; ; ; ; ; 14; 14; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-30 18:22:23 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-30 22:22:00 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-31 02:21:20 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-31 10:20:58 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-31 14:21:29 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-31 18:32:57 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-08-31 22:21:00 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-01 02:20:28 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-01 10:20:38 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/8; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-01 14:20:49 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/8; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-01 18:20:53 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-01 22:20:36 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-02 02:20:26 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 16; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-02 10:20:23 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-02 14:20:40 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-02 18:20:27 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-02 22:21:07 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-03 02:20:00 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/7; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 14; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-03 10:19:58 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-03 14:20:03 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-03 18:20:04 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-03 22:19:58 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 2/11; ; ; ; ; ; ; 1/6; 3/19; 2/11; ; ; ; 2/11; ; ; 2/13; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 13/2; ; ; ; ; ; ; 6; 23/4; 13/2; ; ; ; 13/2; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 13; ; ; ; ; ; ; 12; 16; 13; ; ; ; 13; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-04 02:20:14 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/6; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 15/2; ; ; ; ; ; ; 6; 23/4; 7; ; ; ; 7; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 15; ; ; ; ; ; ; 12; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-04 10:20:10 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/7; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 
Draw; ; ; ; ; 7; 25/4; ; ; 15/2; ; ; ; ; ; ; 6; 23/4; 7; ; ; ; 7; ; ; 13/2; ; ; ; 
Espanyol; ; ; ; ; 14; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-04 14:20:10 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/7; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 7; 25/4; ; ; 15/2; ; ; ; ; ; ; 6; 23/4; 7; ; ; ; 7; ; ; 13/2; ; ; ; 37/5
Espanyol; ; ; ; ; 14; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 19
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-04 18:20:36 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/6; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/7; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 7; 25/4; ; ; 15/2; ; ; ; ; ; ; 6; 23/4; 7; ; ; ; 7; ; ; 13/2; ; ; ; 37/5
Espanyol; ; ; ; ; 16; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 20
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-04 22:20:35 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/7; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/6; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 15/2; 25/4; ; ; 15/2; ; ; ; ; ; ; 13/2; 23/4; 7; ; ; ; 7; ; ; 7; ; ; ; 37/5
Espanyol; ; ; ; ; 16; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 20
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-05 02:20:36 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/7; 9/50; ; ; 3/19; ; ; ; ; ; ; 1/7; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 15/2; 25/4; ; ; 15/2; ; ; ; ; ; ; 13/2; 23/4; 7; ; ; ; 7; ; ; 7; ; ; ; 37/5
Espanyol; ; ; ; ; 16; 16; ; ; 15; ; ; ; ; ; ; 16; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 20
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-05 10:20:26 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/7; 1/6; ; ; 3/19; ; ; ; ; ; ; 1/6; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 15/2; 25/4; ; ; 15/2; ; ; ; ; ; ; 13/2; 23/4; 7; ; ; ; 7; ; ; 7; ; ; ; 37/5
Espanyol; ; ; ; ; 16; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 20
META; spain/la-liga-primera/fc-barcelona-v-espanyol; 2017-09-05 14:21:35 GMT+3; 2017-09-09 19:45; Nothing; Xlenovo
FC Barcelona; ; ; ; ; 1/7; 1/6; ; ; 3/19; ; ; ; ; ; ; 1/6; 3/19; 2/13; ; ; ; 2/13; ; ; 1/7; ; ; ; 2/11
Draw; ; ; ; ; 15/2; 25/4; ; ; 15/2; ; ; ; ; ; ; 13/2; 23/4; 7; ; ; ; 7; ; ; 7; ; ; ; 37/5
Espanyol; ; ; ; ; 16; 16; ; ; 15; ; ; ; ; ; ; 14; 16; 15; ; ; ; 15; ; ; 14; ; ; ; 20
