META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-20 02:19:43 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-28 14:19:35 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-28 18:19:32 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; ; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; ; ; 
Draw; 5/2; ; ; ; 27/10; ; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; ; ; 
Las Palmas; 15/4; ; ; ; 41/10; ; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; ; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-28 22:19:33 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 1/100; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 1/100; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 1/100; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-29 02:19:30 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 1/50; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 1/3; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 4/11; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-29 10:19:30 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 1/50; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 1/3; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 4/11; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-29 18:19:32 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 3/4; 10/13; 14/19; ; 1/5; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 11/4; 53/20; 28/11; ; 1/3; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 4/11; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-29 22:19:34 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 1/5; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 2; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 4/11; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-30 02:19:36 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 27/10; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-30 10:19:37 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; 13/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-30 14:19:55 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; 13/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-30 18:19:39 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; ; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 3/4; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; ; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 11/4; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; ; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 62/17; ; 27/10; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-30 22:19:16 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 3/4; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 27/10; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 5/2; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 41/10; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 18/5; 7/2; 37/13; 37/10; 7/2; 15/4; 7/2; 62/17; ; 27/10; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-31 02:19:07 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 3/4; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 15/4; 7/2; 37/10; ; 27/10; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-31 10:19:11 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; ; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; ; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; ; 7/2; 37/10; ; 27/10; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-31 14:19:22 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-31 18:19:11 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2017-12-31 22:19:07 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 3/4; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 7/2; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 18/5; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-01 02:19:06 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/ 30; 7/2; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-01 10:19:13 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 4/5; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/ 30; 7/2; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-01 14:19:33 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-01 18:19:06 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-01 22:18:51 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 5/6; 4/5; 8/11; 3/4; 14/19; 3/4; 9/11; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 13/5; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 10/3; 100/ 30; 15/4; 7/2; 62/17; 7/2; 37/13; 37/10; 7/2; 7/2; 7/2; 37/10; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-02 02:18:58 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/ 30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-02 10:18:52 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/ 30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-02 14:18:55 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 4/7; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 21/10; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 14/5; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-02 18:18:57 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-02 22:18:54 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-03 02:18:36 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-03 10:18:45 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-03 14:19:11 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 3/4; 4/5; 3/4; ; ; 4/5; ; 4/5; 4/5; 8/11; 3/4; 14/19; 3/4; 7/9; 3/4; 4/5; 4/5; 10/13; 14/19; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 27/10; 53/20; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 7/2; 7/2; 15/4; ; ; 10/3; ; 17/5; 100/30; 15/4; 7/2; 18/5; 7/2; 3; 37/10; 7/2; 7/2; 7/2; 62/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-03 18:19:23 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 4/5; 4/5; 3/4; ; ; 5/6; ; 5/6; 4/5; 4/5; 3/4; 10/13; 3/4; 7/9; 3/4; 4/5; 4/5; 4/5; 10/13; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 11/4; 27/10; 27/10; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 10/3; 7/2; 15/4; ; ; 16/5; ; 16/5; 100/30; 7/2; 7/2; 38/11; 7/2; 3; 37/10; 3; 17/5; 16/5; 7/2; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-03 22:19:19 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
Girona; 3/4; ; ; ; 41/50; 4/5; 4/5; 4/5; 3/4; ; ; 5/6; ; 5/6; 4/5; 4/5; 3/4; 10/13; 3/4; ; 3/4; 4/5; 5/6; 4/5; 4/5; ; 8/11; ; 
Draw; 5/2; ; ; ; 69/25; 27/10; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 11/4; 13/5; 5/2; 28/11; 5/2; ; 13/5; 11/4; 27/10; 27/10; 28/11; ; 5/2; ; 
Las Palmas; 15/4; ; ; ; 4; 18/5; 10/3; 7/2; 15/4; ; ; 16/5; ; 16/5; 100/30; 7/2; 7/2; 57/17; 7/2; ; 37/10; 3; 10/3; 16/5; 57/17; ; 3; ; 
META; spain/la-liga-primera/girona-v-las-palmas; 2018-01-04 02:19:19 GMT+2; 2018-01-13 12:00; Nothing; Xlenovo
