META; english/non-league/national-league/braintree-town-v-wrexham; 2017-02-26 16:28:09 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; ; ; 
Wrexham; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; 
Draw; 5/2; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 21/10; 9/4; ; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 13/5; 12/5; 12/5; ; ; 11/5; 21/10; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-02 08:21:48 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; ; 7/5; 5/4; 29/20; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 23/17; 23/17; 27/20; 23/17; 29/20; 9/7; 23/17; ; ; 11/8; 7/5; 
Wrexham; 19/10; 9/5; 15/8; ; 15/8; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 19/10; 28/17; 17/10; 19/10; 97/50; 17/10; 17/10; ; ; 19/10; 9/5; 
Draw; 5/2; 9/4; 11/5; ; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 21/10; 21/10; 9/4; ; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 13/5; 12/5; 12/5; ; ; 11/5; 21/10; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-02 12:22:07 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; 6/4; 29/20; 5/4; 29/20; 11/8; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 23/17; 23/17; 27/20; 23/17; 37/25; 9/7; 23/17; ; ; 11/8; 7/5; 
Wrexham; 19/10; 9/5; 15/8; 9/5; 19/10; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 19/10; 28/17; 17/10; 19/10; 101/50; 17/10; 17/10; ; ; 19/10; 9/5; 
Draw; 5/2; 11/5; 43/20; 23/10; 23/10; 23/10; 23/10; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; ; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 61/25; 12/5; 12/5; ; ; 11/5; 21/10; 
META; english/non-league/national-league/braintree-town-v-wrexham; 2017-03-02 16:22:00 GMT+2; 2017-03-04 15:00; e70300-dr003
Braintree Town; 13/10; 7/5; 11/8; 6/4; 29/20; 5/4; 29/20; 11/8; 7/5; 7/5; 7/5; 13/10; 7/5; ; 11/8; 7/5; 23/17; 23/17; 27/20; 23/17; 37/25; 9/7; 23/17; ; ; 11/8; ; 
Wrexham; 19/10; 9/5; 15/8; 9/5; 19/10; 17/10; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 37/20; ; 9/5; 15/8; 19/10; 28/17; 17/10; 19/10; 101/50; 17/10; 17/10; ; ; 19/10; ; 
