Draw; 14/5; 14/5; 11/4; 5/2; 3; 3; 3; 11/4; 3; 14/5; 11/4; 3; 29/10; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 14/5; ; 
Guiseley; 5; 9/2; 17/4; 4; 5; 11/2; 22/5; 9/2; 9/2; 9/2; 17/4; 11/2; 9/2; 9/2; 9/2; ; 47/10; 23/5; 19/4; 23/5; 47/10; ; ; 23/5; ; ; 21/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 12:24:26 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 4/7; 8/13; 6/10; 4/7; 3/5; 2/5; 8/13; 1/2; 4/7; 8/13; 8/13; 8/13; 3/5; 4/7; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 14/5; 14/5; 11/4; 5/2; 3; 3; 29/10; 11/4; 14/5; 14/5; 27/10; 16/5; 57/20; 12/5; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 3; ; 
Guiseley; 5; 4; 17/4; 4; 9/2; 11/2; 22/5; 9/2; 17/4; 9/2; 4; 4; 17/4; 9/2; 9/2; ; 79/17; 9/2; 19/4; 9/2; 79/17; ; ; 9/2; ; ; 22/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 16:23:56 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 3/5; 2/5; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; ; 4/7; 3/5; ; 5/9; 6/11; 1/2; 8/15; 5/9; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 14/5; 27/10; 5/2; 3; 3; 29/10; 11/4; 14/5; 14/5; 27/10; 13/5; ; 12/5; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 3; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 11/2; 22/5; 4; 17/4; 9/2; 4; 19/5; ; 9/2; 9/2; ; 47/10; 9/2; 19/4; 9/2; 47/10; ; ; 9/2; ; ; 22/5; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-27 20:24:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 8/13; 8/13; 8/13; 4/7; 3/5; 2/5; 8/13; 4/7; 4/7; 8/13; 8/13; 13/20; 3/5; 6/10; 3/5; ; 4/7; 6/11; 1/2; 8/15; 4/7; ; ; 6/11; ; ; 4/7; ; 
Draw; 11/4; 11/4; 27/10; 5/2; 3; 3; 29/10; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 5/2; 11/4; ; 37/13; 14/5; 27/10; 14/5; 37/13; ; ; 14/5; ; ; 3; ; 
Guiseley; 9/2; 4; 4; 4; 9/2; 11/2; 22/5; 4; 17/4; 9/2; 9/2; 19/5; 17/4; 9/2; 9/2; ; 23/5; 9/2; 19/4; 9/2; 23/5; ; ; 9/2; ; ; 23/5; ; 
