Chester; 15/8; 9/5; 37/20; 7/4; 15/8; 17/10; 15/8; 9/5; 15/8; 15/8; 9/5; 7/4; ; 15/8; 9/5; 15/8; 24/13; 9/5; 17/10; 9/5; 24/13; 57/29; 19/11; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; ; 2; 12/5; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 12/5; 12/5; 23/10; ; ; 9/4; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 08:23:11 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 7/5; 7/5; 11/8; 11/8; 29/20; 5/4; 7/5; 13/10; 7/5; 7/5; 11/8; 13/10; 7/5; 11/8; 11/8; 11/8; 7/5; 7/5; 23/17; 7/5; 7/5; 23/15; 23/18; 7/5; ; ; 11/8; ; 
Chester; 15/8; 9/5; 37/20; 7/4; 15/8; 17/10; 15/8; 9/5; 15/8; 19/10; 9/5; 7/4; 37/20; 15/8; 9/5; 15/8; 24/13; 9/5; 17/10; 9/5; 24/13; 57/29; 19/11; 9/5; ; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 9/4; 2; 12/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 12:24:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 13/10; 7/5; 27/20; 11/8; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 13/10; 7/5; 11/8; 11/8; 11/8; 23/17; 23/17; 23/17; 27/20; 23/17; 23/15; 23/18; 23/17; ; ; 11/8; ; 
Chester; 21/10; 15/8; 19/10; 7/4; 19/10; 17/10; 19/10; 9/5; 15/8; 19/10; 15/8; 7/4; 37/20; 19/10; 9/5; 15/8; 19/10; 24/13; 17/10; 9/5; 19/10; 57/29; 19/11; 24/13; ; ; 9/5; ; 
Draw; 23/10; 23/10; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 9/4; 2; 12/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 23/10; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 16:24:04 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 13/10; 7/5; 27/20; 11/8; 7/5; 5/4; 11/8; 13/10; 7/5; 7/5; 27/20; 13/10; 7/5; 11/8; 11/8; 11/8; 23/17; 23/17; 23/17; 27/20; 23/17; 23/15; 23/18; 23/17; ; ; 11/8; ; 
Chester; 21/10; 15/8; 19/10; 7/4; 19/10; 17/10; 19/10; 9/5; 15/8; 19/10; 15/8; 15/8; 37/20; 19/10; 9/5; 15/8; 19/10; 24/13; 17/10; 9/5; 19/10; 57/29; 19/11; 24/13; ; ; 7/4; ; 
Draw; 23/10; 23/10; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 9/4; 9/4; 2; 12/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 5/2; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-27 20:24:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 13/10; 31/20; 6/4; 6/4; 5/4; 11/8; 13/10; 8/5; 13/8; 7/5; 6/4; 27/20; 13/8; 6/4; 16/11; 17/11; 23/17; 23/17; 27/20; 17/11; 28/17; 23/15; 23/17; ; ; 6/4; ; 
Chester; 7/4; 19/10; 13/8; 31/20; 7/4; 17/10; 19/10; 9/5; 7/4; 13/8; 19/10; 13/8; 39/20; 17/10; 17/10; 9/5; 28/17; 24/13; 17/10; 9/5; 28/17; 9/5; 13/8; 24/13; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 9/4; 2; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 00:23:30 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 11/8; 31/20; 6/4; 6/4; 5/4; 11/8; 6/4; 8/5; 13/8; 7/5; 6/4; 27/20; 13/8; 6/4; 16/11; 17/11; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 8/5; ; 
Chester; 7/4; 9/5; 13/8; 31/20; 7/4; 17/10; 19/10; 17/10; 7/4; 13/8; 19/10; 13/8; 39/20; 17/10; 17/10; 7/4; 8/5; 8/5; 17/10; 8/5; 8/5; 9/5; 13/8; 8/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; 9/4; 2; 23/10; 12/5; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 04:23:25 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 11/8; 31/20; 6/4; 6/4; 5/4; 11/8; 6/4; 8/5; 13/8; 7/5; 6/4; ; 13/8; 6/4; 16/11; 17/11; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 8/5; ; 
Chester; 7/4; 9/5; 13/8; 31/20; 7/4; 17/10; 19/10; 17/10; 7/4; 13/8; 19/10; 13/8; ; 17/10; 17/10; 7/4; 28/17; 8/5; 17/10; 8/5; 28/17; 9/5; 13/8; 8/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; ; 2; 23/10; 12/5; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 08:23:21 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 11/8; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 7/5; 6/4; 31/20; 13/8; 6/4; 6/4; 17/11; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 6/4; ; 
Chester; 7/4; 9/5; 13/8; 31/20; 17/10; 31/20; 13/8; 17/10; 7/4; 13/8; 19/10; 13/8; 17/10; 17/10; 17/10; 7/4; 28/17; 8/5; 17/10; 8/5; 28/17; 9/5; 13/8; 8/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; 11/5; 2; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 12/5; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 12:25:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 8/5; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 7/5; 6/4; ; 13/8; 6/4; 17/11; 17/11; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 6/4; ; 
Chester; 7/4; 6/4; 13/8; 31/20; 17/10; 31/20; 13/8; 17/10; 7/4; 13/8; 19/10; 13/8; ; 17/10; 17/10; 7/4; 28/17; 8/5; 17/10; 8/5; 28/17; 9/5; 13/8; 8/5; ; ; 8/5; ; 
Draw; 23/10; 9/4; 11/5; 21/10; 23/10; 21/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; ; 2; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 16:22:55 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 6/4; 31/20; 6/4; 8/5; 29/20; 31/20; 6/4; 8/5; 8/5; 7/5; 7/4; 31/20; 8/5; 6/4; 6/4; 17/11; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 7/5; ; 
Chester; 7/4; 13/8; 33/20; 31/20; 17/10; 31/20; 17/10; 17/10; 7/4; 13/8; 19/10; 8/5; 17/10; 17/10; 17/10; 7/4; 28/17; 8/5; 17/10; 8/5; 28/17; 9/5; 13/8; 8/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 11/5; 23/10; 23/10; 23/10; 9/4; 11/5; 2; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-28 20:25:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 6/4; 31/20; 6/4; 8/5; 29/20; 31/20; 6/4; 8/5; 13/8; 8/5; 7/4; 31/20; 8/5; 6/4; 17/11; 8/5; 8/5; 23/17; 8/5; 17/11; 28/17; 23/15; 8/5; ; ; 6/4; ; 
Chester; 7/4; 13/8; 33/20; 31/20; 17/10; 31/20; 17/10; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 17/10; 17/10; 7/4; 28/17; 8/5; 17/10; 8/5; 28/17; 9/5; 13/8; 8/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 12/5; 11/5; 23/10; 9/4; 23/10; 9/4; 11/5; 2; 23/10; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; ; ; 9/4; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-29 00:23:00 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 31/20; 6/4; 6/4; 7/5; 8/5; 29/20; 31/20; 6/4; 8/5; 8/5; 8/5; 7/4; 31/20; 8/5; 6/4; 17/11; 17/11; 8/5; 23/17; 8/5; 17/11; 5/3; 23/15; 8/5; ; ; 6/4; 6/4; 
Chester; 7/4; 13/8; 17/10; 8/5; 7/4; 31/20; 7/4; 17/10; 7/4; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 8/5; 17/10; 8/5; 17/10; 11/6; 13/8; 8/5; ; ; 17/10; 13/8; 
Draw; 23/10; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 11/5; 2; 23/10; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 68/29; 12/5; 9/4; ; ; 9/4; 21/10; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-29 04:22:28 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 7/5; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 6/4; 7/4; 31/20; 29/20; 6/4; 6/4; 6/4; 8/5; 23/17; 8/5; 6/4; 8/5; 16/11; 8/5; ; ; 6/4; 6/4; 
