META; english/non-league/national-league/maidstone-v-barrow; 2017-03-26 04:22:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 04:19:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Dagenham & Redbridge 4-3; 80; 100; 75; 100; 80; 125; 90; 90; ; 90; 80; 80; 100; 100; 80; 66; 285/4; 200; 110; 285/4; ; 120; 110; ; 110; ; ; ; 
Eastleigh 4-0; 100; 150; 110; 100; ; 150; 110; 200; 100; 125; 100; 100; 150; 150; 100; 100; 305/4; 150; 125; 305/4; ; 160; 125; ; 125; ; ; ; 
Eastleigh 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge 6-1; 150; 200; ; 200; ; ; 150; 250; ; 150; 125; 100; 150; 200; 125; 125; 93; ; 180; 93; ; ; 180; ; 180; ; ; ; 
Eastleigh 4-3; 125; 150; 100; 125; ; 150; 110; 150; ; 125; 100; 100; 150; 100; 100; 100; 329/4; 250; 180; 329/4; ; 180; 180; ; 180; ; ; ; 
Dagenham & Redbridge 5-3; 200; 200; ; ; ; ; 150; 250; ; 175; 125; 150; 175; 200; 150; 125; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Dagenham & Redbridge 6-2; 300; 250; ; 250; ; ; 175; ; ; 225; 150; 150; 175; 250; 200; 150; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Dagenham & Redbridge 6-0; 150; 200; ; 200; ; ; 175; 325; 100; 175; 150; 150; 150; 200; 150; 125; ; ; 180; ; ; ; 180; ; 180; ; ; ; 
Dagenham & Redbridge 6-3; ; ; ; ; ; ; ; ; ; 350; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 250; 200; 175; 150; ; ; 175; 225; ; 200; 150; 150; 175; 200; 200; 125; ; 250; 350; ; ; 200; 350; ; 350; ; ; ; 
Dagenham & Redbridge 7-2; ; ; ; ; ; ; ; ; ; 400; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh 5-2; 300; 250; ; 250; ; ; 175; 425; ; 225; 150; 150; 200; 250; 250; 150; ; ; 325; ; ; ; 325; ; 325; ; ; ; 
