META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-16 00:26:15 GMT+3; 2016-10-22 15:00; e70300-dr003
Maidstone; 2; 2; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 21/10; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 12/5; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 23/10; 21/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-22 08:23:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 27/20; 13/10; 
Maidstone; 2; 2; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 21/10; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 12/5; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 23/10; 23/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-22 12:24:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; ; ; 23/17; ; ; ; ; 15/13; ; ; 27/20; 13/10; 
Maidstone; 2; 19/10; 2; 15/8; 2; 7/4; 2; 15/8; 2; 2; 21/10; 11/5; 2; 2; 21/10; ; ; ; 8/5; ; ; ; ; 2; ; ; 2; 19/10; 
Draw; 13/5; 23/10; 23/10; 9/4; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 12/5; 11/5; 47/20; 21/10; 23/10; ; ; ; 23/10; ; ; ; ; 5/2; ; ; 23/10; 23/10; 
META; english/non-league/national-league/maidstone-v-gateshead; 2016-10-22 16:22:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Gateshead; 11/8; 7/5; 11/8; 13/10; 29/20; 5/4; 29/20; 5/4; 7/5; 6/4; 29/20; 7/5; 5/4; 6/4; 7/5; ; ; ; 23/17; ; ; ; ; ; ; ; 6/4; ; 
Maidstone; 7/4; 7/4; 9/5; 13/8; 9/5; 7/4; 9/5; 15/8; 9/5; 7/4; 9/5; 17/10; 2; 7/4; 15/8; ; ; ; 8/5; ; ; ; ; ; ; ; 7/4; ; 
Draw; 13/5; 23/10; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 47/20; 21/10; 9/4; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; 
