META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 00:26:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 4/11; 1/3; 1/3; 3/10; 1/3; 7/20; 1/3; 3/10; 1/3; 1/3; 4/11; 4/11; 3/10; 3/10; 1/3; ; ; ; 1/3; ; ; ; ; 6/19; ; ; 1/3; 1/3; 
Draw; 15/4; 19/5; 19/5; 7/2; 4; 16/5; 21/5; 7/2; 4; 4; 4; 19/5; 4; 19/5; 4; ; ; ; 18/5; ; ; ; ; 50/13; ; ; 22/5; 7/2; 
Guiseley; 7; 15/2; 15/2; 7; 15/2; 6; 8; 7; 7; 8; 15/2; 7; 17/2; 8; 15/2; ; ; ; 25/4; ; ; ; ; 7; ; ; 8; 38/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-22 12:24:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/7; 3/10; 3/10; 2/7; 1/3; 7/20; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 2/7; 30/100; ; ; ; 1/3; ; ; ; ; 3/10; ; ; 1/3; 1/3; 
Draw; 17/4; 4; 4; 7/2; 21/5; 16/5; 9/2; 7/2; 17/4; 17/4; 17/4; 19/5; 4; 4; 17/4; ; ; ; 18/5; ; ; ; ; 4; ; ; 21/5; 4; 
Guiseley; 9; 8; 17/2; 15/2; 8; 6; 9; 7; 8; 17/2; 17/2; 9; 17/2; 17/2; 8; ; ; ; 25/4; ; ; ; ; 8; ; ; 41/5; 38/5; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-22 16:22:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 1/3; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 2/7; 1/3; 4/11; 4/11; 1/3; 3/10; 1/3; 1/3; ; ; ; 1/3; ; ; ; ; ; ; ; 1/3; 1/3; 
Draw; 4; 19/5; 37/10; 10/3; 4; 16/5; 21/5; 4; 4; 4; 4; 19/5; 4; 19/5; 4; ; ; ; 18/5; ; ; ; ; ; ; ; 21/5; 7/2; 
Guiseley; 8; 7; 7; 7; 15/2; 6; 15/2; 15/2; 7; 7; 15/2; 9; 17/2; 15/2; 15/2; ; ; ; 25/4; ; ; ; ; ; ; ; 17/2; 38/5; 
