META; english/non-league/national-league/woking-v-barrow; 2016-10-16 00:26:24 GMT+3; 2016-10-22 15:00; e70300-dr003
Draw; 5/2; 5/2; 49/20; 11/5; 12/5; 23/10; 13/5; 23/10; 5/2; 5/2; 12/5; 23/10; 49/20; 21/10; 23/10; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 27/11; ; 12/5; ; ; 12/5; 2; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-21 20:25:18 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 21/20; 11/10; 21/20; 21/20; 23/20; 21/20; 11/10; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 21/20; 15/13; 11/10; 23/20; 21/20; 6/5; ; 15/13; ; ; 10/9; 6/5; 
Woking; 12/5; 21/10; 9/4; 2; 9/4; 2; 9/4; 21/10; 11/5; 23/10; 9/4; 11/5; 21/10; 23/10; 23/10; 11/5; 40/17; 21/10; 21/10; 21/10; 40/17; 12/5; ; 21/10; ; ; 23/10; 19/10; 
Draw; 13/5; 5/2; 5/2; 9/4; 5/2; 23/10; 13/5; 23/10; ; 5/2; 13/5; 13/5; 49/20; 11/5; 12/5; 13/5; 27/11; 12/5; 11/5; 12/5; 27/11; 13/5; ; 12/5; ; ; 5/2; 2; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-22 00:23:46 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 19/20; 11/10; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 23/20; ; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 9/8; ; 21/20; ; ; 21/20; 6/5; 
Woking; 13/5; 21/10; 23/10; 23/10; 12/5; 2; 12/5; 21/10; 12/5; 12/5; 12/5; 11/5; ; 12/5; 23/10; 9/4; 40/17; 23/10; 21/10; 23/10; 12/5; 28/11; ; 23/10; ; ; 12/5; 19/10; 
Draw; 13/5; 5/2; 5/2; 9/4; 5/2; 23/10; 13/5; 5/2; ; 5/2; 13/5; 13/5; ; 11/5; 12/5; 13/5; 27/11; 12/5; 11/5; 12/5; 27/11; 45/17; ; 12/5; ; ; 5/2; 2; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-22 04:23:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 19/20; 1; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 23/20; 1; 21/20; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 1; 9/8; ; 21/20; ; ; 1; 1; 
Woking; 13/5; 23/10; 23/10; 23/10; 12/5; 2; 12/5; 12/5; 12/5; 12/5; 12/5; 11/5; 49/20; 5/2; 23/10; 12/5; 12/5; 23/10; 21/10; 23/10; 12/5; 28/11; ; 23/10; ; ; 12/5; 23/10; 
Draw; 13/5; 13/5; 5/2; 9/4; 13/5; 23/10; 13/5; 5/2; ; 5/2; 13/5; 13/5; 5/2; 9/4; 12/5; 5/2; 27/11; 12/5; 11/5; 12/5; 27/11; 45/17; ; 12/5; ; ; 13/5; 12/5; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-22 08:23:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 19/20; 1; 21/20; 1; 21/20; 19/20; 21/20; 1; 21/20; 21/20; 21/20; 23/20; 1; 21/20; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 1; 9/8; ; 21/20; ; ; 1; 21/20; 
Woking; 13/5; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 12/5; 11/5; 49/20; 5/2; 23/10; 12/5; 12/5; 23/10; 21/10; 23/10; 12/5; 28/11; ; 23/10; ; ; 12/5; 12/5; 
Draw; 13/5; 13/5; 5/2; 9/4; 13/5; 23/10; 13/5; 5/2; ; 5/2; 13/5; 13/5; 5/2; 9/4; 12/5; 5/2; 27/11; 12/5; 11/5; 12/5; 27/11; 45/17; ; 12/5; ; ; 13/5; 13/5; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-22 12:25:14 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 19/20; 21/20; 21/20; 1; 11/10; 19/20; 21/20; 1; 21/20; 21/20; 21/20; 1; 1; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 9/8; ; 21/20; ; ; 21/20; 21/20; 
Woking; 13/5; 9/4; 23/10; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 49/20; 12/5; 23/10; 12/5; 40/17; 23/10; 21/10; 23/10; 40/17; 28/11; ; 23/10; ; ; 12/5; 23/10; 
Draw; 13/5; 5/2; 5/2; 23/10; 5/2; 23/10; 13/5; 5/2; ; 5/2; 13/5; 13/5; 5/2; 23/10; 12/5; 13/5; 27/11; 12/5; 11/5; 12/5; 27/11; 45/17; ; 12/5; ; ; 5/2; 5/2; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-22 16:22:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 23/20; 6/5; 6/5; 11/10; 23/20; 19/20; 6/5; 1; 11/10; 23/20; 6/5; 6/5; 1; 23/20; 6/5; 15/13; 21/20; 21/20; 11/10; 21/20; 11/10; 13/11; ; ; ; ; 23/20; ; 
Woking; 21/10; 19/10; 2; 2; 9/4; 23/10; 21/10; 12/5; 11/5; 21/10; 11/5; 21/10; 49/20; 21/10; 21/10; 11/5; 40/17; 23/10; 21/10; 23/10; 28/13; 19/8; ; ; ; ; 2; ; 
Draw; 13/5; 5/2; 49/20; 23/10; 5/2; 23/10; 13/5; 5/2; ; 5/2; 5/2; 5/2; 5/2; 9/4; 12/5; 5/2; 27/11; 12/5; 11/5; 12/5; 27/11; 27/10; ; ; ; ; 13/5; ; 
