Chester; 4/5; 17/20; 4/5; 4/5; 5/6; 3/4; 4/6; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 5/6; 4/5; 4/6; 4/5; 4/5; 13/15; 9/11; ; ; 5/6; 4/5; 
Draw; 11/4; 5/2; 5/2; 13/5; 11/4; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 5/2; 14/5; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 28/11; ; ; 14/5; 13/5; 
Torquay; 16/5; 29/10; 3; 11/4; 31/10; 14/5; 17/5; 3; 3; 3; 3; 11/4; 3; 3; 3; 3; 10/3; 58/19; 3; 17/5; 3; 16/5; 39/11; 27/10; ; ; 3; 14/5; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 04:23:34 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; 4/5; 4/5; 5/6; 3/4; 4/6; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 14/19; 4/5; 4/6; 4/5; 10/13; 13/15; 9/11; ; ; 5/6; 4/5; 
Draw; 11/4; 5/2; 5/2; 13/5; 13/5; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 5/2; 14/5; 13/5; 45/17; 5/2; 5/2; 5/2; 13/5; 27/10; 28/11; ; ; 14/5; 13/5; 
Torquay; 16/5; 29/10; 3; 11/4; 16/5; 14/5; 17/5; 3; 3; 3; 3; 11/4; 3; 3; 3; 3; 10/3; 17/5; 3; 17/5; 3; 13/4; 39/11; 27/10; ; ; 3; 14/5; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 08:23:08 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; 4/5; 4/5; 5/6; 3/4; 4/6; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 14/19; 4/5; 4/6; 4/5; 10/13; 13/15; 11/13; ; ; 5/6; 4/5; 
Draw; 11/4; 5/2; 5/2; 13/5; 13/5; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 5/2; 14/5; 13/5; 45/17; 5/2; 5/2; 5/2; 45/17; 27/10; 28/11; ; ; 14/5; 13/5; 
Torquay; 16/5; 29/10; 3; 11/4; 16/5; 14/5; 17/5; 3; 3; 3; 3; 11/4; 3; 3; 3; 3; 10/3; 17/5; 3; 17/5; 3; 13/4; 39/11; 13/5; ; ; 3; 14/5; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 12:25:11 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; 17/20; 4/5; 5/6; 3/4; 4/6; 8/11; 5/6; 4/5; 17/20; 4/5; 4/5; 4/5; 17/20; 3/4; 4/5; 14/19; 4/5; 4/6; 4/5; ; 13/15; 11/13; ; ; 5/6; 5/6; 
Draw; 11/4; 5/2; 5/2; 5/2; 11/4; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 45/17; 5/2; 5/2; 5/2; ; 27/10; 28/11; ; ; 27/10; 5/2; 
Torquay; 16/5; 29/10; 29/10; 11/4; 31/10; 14/5; 10/3; 3; 3; 3; 3; 11/4; 3; 3; 29/10; 3; 10/3; 17/5; 3; 17/5; 3; ; 39/11; 13/5; ; ; 3; 11/4; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 16:24:23 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 5/6; 17/20; 4/5; 5/6; 3/4; 4/6; 8/11; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 5/6; 3/4; 4/5; 14/19; 4/5; 4/6; 4/5; ; 13/15; 10/11; ; ; 5/6; 5/6; 
Draw; 11/4; 5/2; 5/2; 5/2; 13/5; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 5/2; 14/5; 13/5; 45/17; 5/2; 5/2; 5/2; 13/5; 27/10; 45/17; ; ; 27/10; 5/2; 
Torquay; 16/5; 29/10; 29/10; 11/4; 16/5; 14/5; 33/10; 3; 3; 3; 3; 16/5; 10/3; 3; 29/10; 3; 10/3; 17/5; 3; 17/5; 3; 16/5; 39/11; 5/2; ; ; 3; 14/5; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-07 20:26:20 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 5/6; 4/5; 3/4; 4/5; ; 4/6; 8/11; 4/5; 4/5; 4/5; 5/6; 5/6; 10/13; 4/5; 3/4; 4/5; 5/7; 4/5; 4/6; 4/5; ; 13/15; 5/6; ; ; 5/6; 8/11; 
Draw; 11/4; 5/2; 5/2; 23/10; 13/5; ; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 5/2; 14/5; 13/5; 27/10; 5/2; 5/2; 5/2; 45/17; 27/10; 45/17; ; ; 11/4; 13/5; 
Torquay; 16/5; 29/10; 16/5; 16/5; 10/3; ; 18/5; 3; 3; 3; 16/5; 10/3; 10/3; 16/5; 16/5; 3; 10/3; 39/11; 3; 17/5; 3; 57/17; 39/11; 14/5; ; ; 10/3; 14/5; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-08 00:24:08 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 5/6; 4/5; 3/4; 4/5; 3/4; 4/6; 8/11; 4/5; 4/5; 3/4; 4/5; 5/6; 10/13; 4/5; 3/4; 4/5; ; 4/5; 4/6; 4/5; 14/19; 9/11; 5/6; ; ; 8/11; 8/11; 
Draw; 11/4; 5/2; 5/2; 5/2; 13/5; 12/5; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 5/2; 14/5; 13/5; ; 5/2; 5/2; 5/2; 45/17; 11/4; 45/17; ; ; 14/5; 13/5; 
Torquay; 16/5; 29/10; 31/10; 14/5; 10/3; 14/5; 18/5; 3; 3; 3; 7/2; 10/3; 10/3; 16/5; 16/5; 3; 10/3; ; 3; 17/5; 3; 17/5; 15/4; 14/5; ; ; 7/2; 3; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-08 04:24:18 GMT+3; 2016-10-08 15:00; e70300-dr003
