META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 00:19:02 GMT+3; 2017-04-01 19:45; e70300-dr003
Roma; 1/6; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/6; 1/5; 2/11; 1/6; 2/11; 1/6; 1/6; 1/6; 1/6; 3/19; 2/11; 1/6; 3/19; 9/50; 1/5; 3/19; 2/11; 1/6; ; 2/11; 2/11; 1/5
Moldova; ; ; 2000; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 1500; ; ; ; ; ; ; ; 
Qatar; 1500; ; 1000; 1000; 2000; ; ; 1000; ; ; ; ; ; 1000; ; ; 1250; 500; ; 1250; 1000; 1500; ; ; ; ; ; ; 
Bahrain; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Canada; ; ; 2500; ; ; ; 1000; 500; ; ; ; 500; ; 500; ; ; ; ; 500; ; 1000; 1500; 500; ; 500; ; ; ; 
Cape Verde; ; ; 1000; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Congo; ; ; ; ; 750; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Congo DR; ; ; 1500; ; 750; ; ; ; ; ; 250; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Cyprus; 2500; ; 1000; ; ; ; 2000; 1000; ; ; ; ; ; 1000; ; ; 2000; 1000; ; 2000; 1000; 1500; ; ; ; ; ; ; 
Estonia; ; ; 2500; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 2000; ; ; ; ; ; ; ; 
Finland; 2500; 500; 500; 750; ; 500; ; 500; 500; ; 750; 500; ; 500; 1000; ; 1000; 500; 500; 1000; 500; 750; 500; ; 500; ; ; ; 
Iraq; ; ; ; ; 2000; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; ; 2500; ; ; ; ; ; ; 
Jordan; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kazakhstan; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 2500; ; ; 1500; ; ; ; ; ; ; ; 
Kuwait SC; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Libya; ; ; ; ; 1250; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Luxembourg; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Mali; ; ; 1000; ; 750; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
New Zealand; ; 2000; 1000; ; 2500; ; 2500; 1000; ; ; ; ; ; 1000; ; ; ; 1000; ; ; 1500; 2500; ; ; ; ; ; ; 
Saudi Arabia; ; ; 2500; ; 1000; ; ; ; ; ; 500; ; ; ; ; ; ; 750; ; ; 1000; 1000; ; ; ; ; ; ; 
Syria; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Trinidad/Tobago; ; ; 2500; ; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tunisia; 500; ; 2500; ; 500; ; ; 500; ; ; 400; ; ; 500; ; ; 600; 500; ; 600; ; ; ; ; ; ; ; ; 
Uganda; ; ; ; ; 1000; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Zambia; ; ; ; ; 1250; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Papua New Guinea; ; ; ; ; 3000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Thailand; ; ; ; ; 3000; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; 3500; ; ; ; ; ; ; 
Andorra; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
Azerbaijan; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; 1500; ; ; ; ; ; ; ; 
Faroe Islands; ; ; ; ; ; ; 3000; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; 2000; ; ; ; ; ; ; ; 
Fiji; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gabon; ; ; 750; ; 5000; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Gibraltar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
Guinea; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; ; ; ; ; ; ; ; ; ; 
Kosovo; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3500; 5000; ; 3500; 2000; ; ; ; ; ; ; ; 
Liechtenstein; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
Malta; ; ; 1000; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
New Caledonia; ; ; ; ; 3000; ; ; ; ; ; ; ; ; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
San Marino; ; ; ; ; ; ; ; 1000; ; ; ; ; ; 1000; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
Soloman Islands; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solomon Islands; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; 
Tahiti; ; ; ; ; 5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 20:19:41 GMT+3; ; e70300-dr003
Serena Williams; 6/4; 6/4; 6/4; 6/4; 6/4; ; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; 8/5; ; 6/4; 32/21; 6/4; ; ; ; ; 6/4; ; 
Angelique Kerber; 8; 9; 8; 7; 7; ; 8; 6; 8; 6; 9; 8; ; 7; 8; 6; 15/2; 7; ; 15/2; 6; 8; ; ; ; ; 41/5; ; 
Garbine Muguruza; 8; 9; 8; 8; 8; ; 9; 8; 9; 8; 9; 8; ; 8; 8; 8; 17/2; 7; ; 17/2; 6; 8; ; ; ; ; 17/2; ; 
Karolina Pliskova; 10; 11; 12; 12; 10; ; 10; 10; 9; 12; 9; 9; ; 10; 10; 12; 10; 9; ; 10; 44/5; 11; ; ; ; ; 17/2; ; 
Maria Sharapova; 8; 11; ; 12; ; ; 12; ; 12; 9; 12; 12; ; ; 10; 10; 9; 9; ; 9; 8; 9; ; ; ; ; 19/2; ; 
Madison Keys; 12; 14; 14; 12; 10; ; 14; 12; 14; 12; 12; 12; ; 10; 12; 14; 11; 11; ; 11; 23/2; 12; ; ; ; ; 71/5; ; 
Petra Kvitova; 10; 12; 10; ; 10; ; 14; 12; 14; ; 10; 10; ; 14; 10; 10; 10; 11; ; 10; 10; 10; ; ; ; ; 17; ; 
Johanna Konta; 22; 20; 22; 16; 20; ; 20; 20; 20; 16; 12; 16; ; 18; 16; 16; 20; 22; ; 20; 22; 22; ; ; ; ; 71/5; ; 
Coco Vandeweghe; 20; 22; 18; 20; 16; ; 20; 20; 20; 20; 20; 20; ; 18; 20; 20; 18; 16; ; 18; 20; 20; ; ; ; ; 22; ; 
Simona Halep; 20; 22; 22; 20; 20; ; 20; 20; 25; 20; 25; 20; ; 25; 20; 20; 20; 20; ; 20; 20; 20; ; ; ; ; 21; ; 
Agnieszka Radwanska; 28; 33; 30; 33; 25; ; 33; 30; 33; 33; 33; 33; ; 33; 28; 28; 28; 25; ; 28; 28; 28; ; ; ; ; 28; ; 
Belinda Bencic; 20; 25; 25; 20; 25; ; 33; 22; 25; 20; 28; 20; ; 25; 20; 20; 22; 18; ; 22; 20; 20; ; ; ; ; 28; ; 
Venus Williams; 33; 33; 40; 33; 40; ; 33; 33; 33; 40; 28; 33; ; 33; 40; 33; 33; 28; ; 33; 22; 40; ; ; ; ; 18; ; 
Dominika Cibulkova; 40; 50; 40; 50; 33; ; 50; 40; 50; 40; 40; 40; ; 50; 40; 40; 40; 33; ; 40; 40; 40; ; ; ; ; 37; ; 
Ana Ivanovic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; 
Darya Kasatkina; 50; 66; ; 50; 50; ; ; ; 40; 50; 66; ; ; 50; 50; ; ; ; ; ; ; ; ; ; ; ; 64/5; ; 
Elina Svitolina; 50; 50; 40; 33; 33; ; 50; 50; 40; 50; 33; 40; ; 50; 50; 60; 60; 50; ; 60; 50; 66; ; ; ; ; 28; ; 
Caroline Wozniacki; 66; 66; 66; 66; ; ; 66; 33; 50; 66; 50; 66; ; 33; 66; 66; 60; 40; ; 60; 66; 66; ; ; ; ; ; ; 
Eugenie Bouchard; 50; 40; 50; 50; ; ; 66; 50; 50; 66; 50; 50; ; 50; 50; 50; 50; 50; ; 50; 50; 40; ; ; ; ; ; ; 
Lucie Safarova; 40; 40; 40; 50; 50; ; 50; 66; 50; 50; 66; 50; ; 75; 50; 50; 50; 40; ; 50; 40; 40; ; ; ; ; 37; ; 
Timea Bacsinszky; 50; 80; 50; 50; 50; ; 50; 50; 50; 50; 66; 50; ; 50; 50; 50; 50; 40; ; 50; 50; 50; ; ; ; ; 37; ; 
Sloane Stephens; 40; 66; 66; 50; 50; ; 66; 66; 50; 66; 66; ; ; 80; 50; 66; 50; 40; ; 50; 40; 50; ; ; ; ; 47; ; 
Ana Konjuh; 80; 33; ; ; ; ; ; 66; 50; ; 50; ; ; 66; ; ; 70; ; ; 70; ; ; ; ; ; ; ; ; 
Kristina Mladenovic; 50; 50; 80; 100; ; ; 100; 50; 100; 80; 50; 100; ; 66; 66; 100; 100; 80; ; 100; 80; 100; ; ; ; ; 17/2; ; 
Ekaterina Makarova; 50; 80; 66; 66; 50; ; 100; 66; 66; 66; 66; 66; ; 66; 66; 66; 66; 40; ; 66; 50; 66; ; ; ; ; 43; ; 
Svetlana Kuznetsova; 80; 80; 75; 100; 100; ; 100; 66; 100; 100; ; 66; ; 66; 80; 66; 70; 66; ; 70; 66; 80; ; ; ; ; 43; ; 
Caroline Garcia; 66; 80; ; 66; ; ; 100; 50; 66; 66; 66; 50; ; 40; 66; 66; 70; 50; ; 70; 66; 66; ; ; ; ; ; ; 
Elena Vesnina; 50; 50; ; 66; 80; ; 100; 66; 50; 80; ; 66; ; 66; 80; 66; ; ; ; ; ; 80; ; ; ; ; ; ; 
Jelena Ostapenko; 100; 80; ; 100; ; ; 100; 66; 80; ; 66; 100; ; 66; 66; 66; 100; ; ; 100; ; 100; ; ; ; ; ; ; 
A Pavlyuchenkova; 100; 100; ; 66; 66; ; ; 66; 100; 100; 100; 50; ; 66; 80; ; 125; ; ; 125; ; 100; ; ; ; ; 18; ; 
Carla Suarez Navarro; 125; 100; 70; 66; 66; ; 100; 100; ; 100; 100; 66; ; 100; 66; 66; 80; 66; ; 80; 50; 80; ; ; ; ; 61; ; 
Kiki Bertens; 100; ; ; 66; 66; ; 100; 66; 66; 80; 125; 66; ; 66; 66; 66; ; ; ; ; ; 66; ; ; ; ; ; ; 
Sabine Lisicki; 80; 80; 100; 100; ; ; 100; 100; 80; 100; 80; 100; ; 100; 100; 100; 100; 125; ; 100; ; 100; ; ; ; ; ; ; 
Sam Stosur; 100; 80; 100; 100; 100; ; 150; 80; 100; 150; 150; 80; ; 100; 100; 80; 80; 66; ; 80; 100; 80; ; ; ; ; 17/2; ; 
Roberta Vinci; 100; ; ; 100; 150; ; ; 100; 150; ; ; 100; ; 100; 100; 100; 100; 100; ; 100; ; 100; ; ; ; ; 70; ; 
Daria Gavrilova; 150; ; 125; 150; ; ; 150; ; ; 100; 150; 100; ; 100; 100; 100; 125; 100; ; 125; ; 150; ; ; ; ; ; ; 
Heather Watson; 150; 150; ; 150; ; ; ; 100; 150; 100; 150; 150; ; 125; 125; 125; 125; 150; ; 125; ; 150; ; ; ; ; ; ; 
Kristyna Pliskova; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mirjana Lucic-Baroni; 100; 66; ; 100; ; ; 150; 100; 125; ; ; ; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Andrea Petkovic; 150; ; 150; 150; ; ; ; 150; 150; ; 150; 150; ; 200; 150; 150; 150; 125; ; 150; ; 150; ; ; ; ; 80; ; 
Jelena Jankovic; 150; ; ; 100; 100; ; ; ; 125; ; 200; 125; ; 150; 125; 125; 125; 150; ; 125; 100; 150; ; ; ; ; 80; ; 
Alize Cornet; 250; ; ; 200; ; ; ; 200; ; ; 250; 200; ; 250; 200; 200; 200; ; ; 200; ; 250; ; ; ; ; ; ; 
Camila Giorgi; 150; ; 150; 150; ; ; ; 150; ; ; 200; 150; ; 250; 150; 150; 175; 150; ; 175; ; 150; ; ; ; ; ; ; 
Casey Dellacqua; ; ; ; ; ; ; ; ; ; ; ; 150; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Laura Robson; 250; ; ; 200; ; ; ; 200; 250; 250; 250; 200; ; 250; 200; 200; 275; 250; ; 275; ; 250; ; ; ; ; ; ; 
Sara Errani; 200; ; ; 200; 200; ; ; 225; ; 200; 250; 200; ; 250; 200; 200; 300; 250; ; 300; ; 250; ; ; ; ; 80; ; 
Victoria Azarenka; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 38/5; ; 
Irina-Camelia Begu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/5; ; 
