Eastleigh; 4/7; 8/15; 4/7; 11/20; 4/7; 8/15; 4/7; 8/15; 4/7; 6/11; 3/5; 4/7; 1/2; 4/7; ; 4/7; 8/15; 6/11; 6/11; 8/15; 8/15; 8/13; 6/11; ; 3/10; ; 
Draw; 31/10; 14/5; 14/5; 14/5; 3; 13/5; 31/10; 3; 3; 3; 3; 14/5; 3; 3; ; 3; 3; 3; 14/5; 3; 3; 13/4; 3; ; 4/7; ; 
Guiseley; 9/2; 9/2; 17/4; 15/4; 21/5; 21/5; 9/2; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 17/4; ; 9/2; 9/2; 17/4; 4; 21/5; 9/2; 24/5; 50/13; ; 4/7; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 16:20:28 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 8/15; 8/15; 8/15; 11/20; 8/15; 12/25; ; 8/15; 8/15; 6/11; 11/20; ; 1/2; 11/20; ; 8/15; 8/15; 6/11; 6/11; 8/15; 17/35; 8/13; 11/21; ; 3/10; ; 
Draw; 16/5; 29/10; 29/10; 13/5; 3; 14/5; ; 3; 3; 3; 3; ; 3; 3; ; 3; 3; 3; 14/5; 3; 31/10; 13/4; 58/19; ; 4/7; ; 
Guiseley; 19/4; 5; 19/4; 4; 9/2; 17/4; ; 9/2; 9/2; 17/4; 5; ; 9/2; 9/2; ; 5; 9/2; 17/4; 4; 21/5; 19/4; 24/5; 41/10; ; 4/7; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-03 20:20:53 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 8/15; 8/15; 8/15; 11/20; 8/15; 12/25; 8/15; 8/15; 8/15; 6/11; 11/20; ; 1/2; 11/20; 1/2; 8/15; 8/15; 6/11; 6/11; 8/15; 1/2; 8/13; 11/21; ; 4/9; ; 
Draw; 16/5; 29/10; 29/10; 13/5; 3; 14/5; 31/10; 3; 3; 3; 3; ; 3; 3; 11/4; 3; 3; 3; 14/5; 3; 41/13; 13/4; 58/19; ; 5/2; ; 
Guiseley; 19/4; 5; 19/4; 4; 9/2; 17/4; 5; 9/2; 9/2; 17/4; 5; ; 9/2; 9/2; 24/5; 5; 9/2; 17/4; 4; 21/5; 49/10; 24/5; 41/10; ; 21/5; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-04 00:20:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 8/15; 8/15; 8/15; 11/20; 8/15; 12/25; 8/15; 8/15; 8/15; 6/11; 11/20; ; 1/2; 11/20; 1/2; 8/15; 8/15; 6/11; 6/11; 8/15; 1/2; 7/12; 18/35; ; 4/9; ; 
Draw; 16/5; 29/10; 29/10; 13/5; 3; 14/5; 31/10; 3; 3; 3; 3; ; 3; 3; 11/4; 3; 3; 3; 14/5; 3; 41/13; 33/10; 31/10; ; 5/2; ; 
Guiseley; 19/4; 5; 19/4; 4; 9/2; 17/4; 5; 9/2; 9/2; 17/4; 5; ; 9/2; 9/2; 24/5; 5; 9/2; 17/4; 4; 21/5; 49/10; 53/10; 21/5; ; 21/5; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-04 04:19:47 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 8/15; 8/15; 8/15; 11/20; 8/15; 12/25; 8/15; 8/15; 8/15; 6/11; 11/20; ; 1/2; 11/20; ; 8/15; 8/15; 6/11; 6/11; 8/15; 1/2; 7/12; 18/35; ; 4/9; ; 
Draw; 16/5; 29/10; 29/10; 13/5; 3; 14/5; 31/10; 3; 3; 3; 3; ; 3; 3; ; 3; 3; 3; 14/5; 3; 16/5; 33/10; 31/10; ; 14/5; ; 
Guiseley; 19/4; 5; 19/4; 4; 9/2; 17/4; 5; 9/2; 9/2; 17/4; 5; ; 9/2; 9/2; ; 5; 9/2; 17/4; 4; 21/5; 49/10; 53/10; 21/5; ; 21/5; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-04 08:19:41 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 8/15; 8/15; 8/15; 11/20; 8/15; 12/25; 8/15; 8/15; 8/15; 6/11; 11/20; ; 1/2; 11/20; ; 8/15; 8/15; 6/11; 6/11; 8/15; 1/2; 7/12; 18/35; ; 4/9; ; 
Draw; 16/5; 29/10; 29/10; 13/5; 3; 14/5; 31/10; 3; 3; 3; 3; ; 3; 3; ; 3; 3; 3; 14/5; 3; 41/13; 33/10; 31/10; ; 14/5; ; 
Guiseley; 19/4; 5; 19/4; 4; 9/2; 17/4; 5; 9/2; 9/2; 17/4; 5; ; 9/2; 9/2; ; 5; 9/2; 17/4; 4; 21/5; 49/10; 53/10; 21/5; ; 21/5; ; 
