META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-26 04:22:32 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-27 04:19:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; 6/4; 13/10; 6/4; ; 8/5; ; 6/4; ; 6/4; ; ; 6/4; 29/20; ; ; 16/11; ; ; 7/5; ; ; ; 7/5; ; 7/5; ; ; ; 
20 01% - 30 00%; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30 01 to 40%; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30 01% - 40 00%; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30-40%; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
40-50%; ; ; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28; ; 
Under 20%; ; ; ; ; 20; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
40 01 to 50%; ; ; ; ; ; ; ; ; ; ; ; 22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
40 01% - 50 00%; ; 22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20 00% or lower; ; 25; ; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Over 50%; ; ; ; ; 33; ; ; ; ; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
50 01% or higher; ; 50; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20 00 Percent or Lower; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28; ; 
50 01 Percent or Higher; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 04:32:27 GMT+3; 2017-04-01 15:00; e70300-dr003
Cheltenham; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 3/4; 5/6; 4/5; 4/5; 5/6; 10/13; 4/5; 4/5; 4/5; 10/13; 3/4; 8/11; 10/13; 87/100; 4/5; 11/14; 4/5; 11/14; ; 4/5; ; 5/6
Draw; 13/5; 13/5; 49/20; 23/10; 11/4; 12/5; 11/4; 9/4; 13/5; 5/2; 12/5; 5/2; 13/5; 13/5; 11/4; 5/2; 28/11; 13/5; 5/2; 28/11; 13/5; 27/11; 28/11; 13/5; 28/11; ; 12/5; ; 11/4
Morecambe; 18/5; 10/3; 16/5; 10/3; 7/2; 3; 33/10; 16/5; 10/3; 10/3; 16/5; 10/3; 7/2; 17/5; 16/5; 7/2; 17/5; 18/5; 7/2; 17/5; 18/5; 56/19; 7/2; 10/3; 7/2; ; 3; ; 7/2
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 12:22:11 GMT+3; ; e70300-dr003
Poland; 2/7; 1/4; ; 1/4; ; ; 1/4; 3/10; ; ; ; ; 1/4; 3/10; 2/7; 2/7; ; 2/9; ; 5/18; 1/4; 1/4; ; ; ; ; 1/5; ; 
Denmark; 5; 5; ; 5; ; ; 5; 11/2; ; ; ; ; 5; 11/2; 11/2; 5; ; 7; ; 11/2; 11/2; 5; ; ; ; ; 23/5; ; 
Montenegro; 10; 8; ; 15/2; ; ; 8; 15/2; ; ; ; ; 8; 15/2; 8; 8; ; 9; ; 7; 10; 8; ; ; ; ; 33/5; ; 
Romania; 14; 11; ; 10; ; ; 12; 9; ; ; ; ; 10; 10; 11; 11; ; 12; ; 11; 12; 12; ; ; ; ; 17/2; ; 
Armenia; 250; 250; ; ; ; ; 250; 175; ; ; ; ; 150; 175; 250; 250; ; 150; ; 200; 250; 150; ; ; ; ; 47; ; 
Kazakhstan; 2500; ; ; ; ; ; ; 500; ; ; ; ; ; 500; ; 1000; ; ; ; 600; ; ; ; ; ; ; 47; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 16:30:56 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 8/5; 31/20; 6/4; 29/20; 8/5; 13/8; 6/4; 6/4; 23/17; 6/4; 6/4; 83/50; 16/11; 17/11; ; 17/11; ; ; 7/5; 
Boreham Wood; 9/5; 19/10; 37/20; 15/8; 15/8; 17/10; 15/8; 15/8; 15/8; 9/5; 19/10; 9/5; 15/8; 15/8; 9/5; 15/8; 9/5; 24/13; 17/10; 9/5; 193/100; 27/14; 17/10; ; 17/10; ; ; 7/4; 
Draw; 23/10; 2; 39/20; 9/4; 21/10; 39/20; 85/40; 2; 2; 21/10; 21/10; 15/8; 21/10; 2; 2; 11/5; 21/10; 2; 2; 21/10; 56/25; 21/10; 39/19; ; 39/19; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-31 20:22:20 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 6/4; 31/20; 6/4; 8/5; 7/5; 31/20; 6/4; 6/4; 8/5; 31/20; 6/4; 29/20; 8/5; 13/8; 6/4; 17/11; 23/17; 6/4; 17/11; 83/50; 16/11; 17/11; ; 17/11; ; ; 7/5; 
Boreham Wood; 9/5; 19/10; 37/20; 15/8; 15/8; 17/10; 15/8; 15/8; 15/8; 9/5; 19/10; 9/5; 15/8; 15/8; 9/5; 15/8; 7/4; 24/13; 17/10; 7/4; 193/100; 27/14; 17/10; ; 17/10; ; ; 7/4; 
Draw; 23/10; 2; 39/20; 9/4; 21/10; 39/20; 85/40; 2; 2; 21/10; 21/10; 15/8; 21/10; 2; 2; 11/5; 21/10; 2; 2; 21/10; 56/25; 21/10; 39/19; ; 39/19; ; ; 19/10; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-04-02 00:19:12 GMT+3; 2017-04-01 15:00; e70300-dr003
Chelsea; 3/10; 3/10; 1/3; 2/7; 2/7; 2/7; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 30/100; 2/7; 2/7; 5/19; 2/7; 2/7; 3/10; 4/13; 2/7; 3/10; 4/13; ; ; 3/10; 3/10
Draw; 19/4; 4; 17/4; 9/2; 17/4; 470/100; 19/4; 9/2; 17/4; 4; 17/4; 4; 17/4; 9/2; 9/2; 9/2; 22/5; 19/4; 22/5; 22/5; 24/5; 9/2; 22/5; 17/4; 9/2; ; ; 9/2; 24/5
Crystal Palace; 11; 10; 11; 11; 12; 12; 12; 9; 10; 11; 11; 12; 12; 10; 11; 11; 47/4; 21/2; 23/2; 47/4; 12; 10; 23/2; 11; 23/2; ; ; 63/5; 57/5
