Oxford ; 29/10; 13/5; 29/10; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 13/5; 27/10; 13/5; 27/10; 14/5; 11/4; 27/10; 13/5; 11/4; 13/5; 13/5; 29/10; 40/17; 13/5; 11/4; ; 11/4; 27/10; 11/4
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 14:22:16 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 21/20; 1; 21/20; 1; 1; 10/11; 1; 21/20; 21/20; 20/21; 1; 1; 19/20; 21/20; 1; 1; 19/20; 19/20; 20/21; 19/20; 1; 1; 39/40; 1; ; 1; 20/21; 1
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 27/11; 5/2; 12/5; 12/5; 51/20; 27/11; 27/11; 12/5; ; 12/5; 12/5; 13/5
Oxford ; 29/10; 13/5; 29/10; 11/4; 11/4; 13/5; 29/10; 5/2; 14/5; 14/5; 11/4; 14/5; 57/20; 29/10; 11/4; 11/4; 14/5; 27/10; 27/10; 37/13; 31/10; 13/5; 27/10; 14/5; ; 14/5; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 18:22:19 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 21/20; 1; 21/20; 1; 1; 19/20; 21/20; 21/20; 21/20; 20/21; 1; 1; 19/20; 21/20; 1; 1; 19/20; 19/20; 10/11; 19/20; 103/100; 1; 11/12; 1; ; 1; 20/21; 21/20
Draw; 5/2; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 51/20; 12/5; 27/11; 12/5; ; 5/2; 12/5; 13/5
Oxford ; 29/10; 11/4; 29/10; 11/4; 11/4; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 11/4; 57/20; 29/10; 11/4; 11/4; 37/13; 27/10; 14/5; 37/13; 149/50; 13/5; 56/19; 14/5; ; 14/5; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-07 22:23:34 GMT+2; 2017-03-07 19:45; In Play; Xlenovo
Draw; 5/2; 9/4; 5/2; 12/5; 5/2; 23/10; 5/2; 9/4; ; 23/10; 23/10; 11/5; ; 13/5; ; ; 40/17; 21/10; ; 40/17; 63/25; ; ; ; ; ; 5/2; 
Oxford; 4/5; 8/11; 14/5; 5/6; 5/2; 3/4; 4/5; 4/5; ; 8/11; 4/5; 7/10; ; 4/5; ; ; 45/17; 11/17; ; 45/17; 131/50; ; ; ; ; ; 5/6; 
Sheffield Utd; 7/2; 9/2; 11/10; 7/2; 1; 7/2; 7/2; 7/2; ; 15/4; 17/5; 7/2; ; 18/5; ; ; 1; 4; ; 1; 53/50; ; ; ; ; ; 7/2; 
