META; english/league-1/peterborough-v-southend; 2017-02-18 14:25:14 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 18:22:16 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 22:22:26 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; ; ; 5/4; 5/4; ; 5/4; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
Peterborough; 8/5; 6/4; 6/4; 6/4; 6/4; 7/5; 31/20; 7/5; 6/4; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 31/20; 32/21; 10/7; 6/4; ; 6/4; 6/4; 8/5
Southend ; 15/8; 17/10; 7/4; 7/4; 9/5; 17/10; 9/5; 9/5; 9/5; 7/4; 9/5; 17/10; 7/4; 15/8; 17/10; 9/5; 9/5; 7/4; 19/10; 9/5; 15/8; 23/13; 19/10; 15/8; ; 9/5; 9/5; 15/8
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 27/11; 9/4; 23/10; ; 23/10; 23/10; 12/5
META; english/league-1/peterborough-v-southend; 2017-02-21 18:21:56 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 17/10; 8/5; 31/20; 6/4; 8/5; 31/20; 13/8; 6/4; 8/5; 13/8; 31/20; 13/8; 13/8; 17/10; 13/8; 8/5; 8/5; 6/4; 6/4; 8/5; 87/50; 5/3; 6/4; 13/8; ; 13/8; 13/8; 17/10
Southend ; 17/10; 13/8; 37/20; 7/4; 7/4; 31/20; 7/4; 13/8; 9/5; 13/8; 7/4; 13/8; 13/8; 7/4; 17/10; 7/4; 17/10; 7/4; 7/4; 17/10; 17/10; 29/18; 7/4; 7/4; ; 13/8; 13/8; 17/10
Draw; 5/2; 12/5; 5/2; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 49/20; 5/2; 9/4; 12/5; 9/4; 9/4; 9/4; 9/4; 61/25; 27/11; 9/4; 23/10; ; 12/5; 23/10; 5/2
META; english/league-1/peterborough-v-southend; 2017-02-21 22:21:45 GMT+2; 2017-02-21 19:45; In Play; Xlenovo
Southend; 7/4; 13/8; 37/20; 17/10; 13/8; 31/20; 13/8; 9/5; 13/8; 7/4; 13/8; 13/8; 37/20; 13/8; ; ; 8/5; 9/5; ; 8/5; ; ; ; ; ; ; ; 
Peterborough; 15/8; 7/4; 31/20; 19/10; 13/8; 9/5; 15/8; 7/4; 13/8; 7/4; 9/5; 7/4; 37/20; 17/10; ; ; 7/4; 24/13; ; 7/4; ; ; ; ; ; ; 19/10; 
Draw; 15/8; 7/4; 5/2; 15/8; 12/5; 37/20; 2; 9/5; 12/5; 13/8; 9/5; 7/4; 7/4; 11/5; ; ; 39/19; 17/11; ; 39/19; ; ; ; ; ; ; 2; 
