META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 14:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 18:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 22:20:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 10/11; ; ; 1; ; 1; 10/11; ; ; ; ; ; 1; ; 19/20; 1; ; 1; 1; ; ; 1; ; 1; ; 8/11; ; 
Bristol Rovers; 1; 19/20; 19/20; 19/20; 19/20; 9/10; 20/21; 5/6; 10/11; 20/21; 19/20; 20/21; 10/11; 1; 19/20; 19/20; 19/20; 9/10; 10/11; 19/20; 97/100; 22/23; 13/14; 19/20; 13/14; ; 20/21; 10/11; 20/21
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 47/20; 13/5; 5/2; 12/5; 40/17; 12/5; 23/10; 40/17; 66/25; 12/5; 40/17; 12/5; 40/17; ; 23/10; 11/5; 23/10
Oldham; 16/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 31/10; 3; 3; 3; 3; 31/10; 11/4; 3; 3; 3; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-17 06:20:12 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 19/20; 19/20; 19/20; 19/20; 17/20; 20/21; 5/6; 10/11; 10/11; 19/20; 20/21; 10/11; 1; 19/20; 19/20; 19/20; 9/10; 10/11; 19/20; 24/25; 9/10; 13/14; 19/20; 13/14; ; 20/21; 20/21; 20/21
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 47/20; 13/5; 5/2; 12/5; 40/17; 12/5; 23/10; 40/17; 67/25; 12/5; 40/17; 12/5; 40/17; ; 23/10; 23/10; 23/10
Oldham; 16/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 31/10; 3; 3; 3; 3; 31/10; 3; 3; 3; 3; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-17 10:20:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 19/20; 19/20; 19/20; 19/20; 9/10; 20/21; 5/6; 10/11; 20/21; 19/20; 20/21; 10/11; 1; 19/20; 19/20; 19/20; 9/10; 10/11; 19/20; 24/25; 19/20; 13/14; 19/20; 13/14; ; 20/21; 20/21; 20/21
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 47/20; 13/5; 5/2; 12/5; 40/17; 12/5; 23/10; 40/17; 67/25; 12/5; 40/17; 12/5; 40/17; ; 12/5; 23/10; 23/10
Oldham; 16/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 31/10; 3; 3; 3; 3; 31/10; 11/4; 3; 3; 3; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-17 14:20:15 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 10/11; 10/11; 10/11; 19/20; 10/11; 5/6; 37/40; 10/11; 10/11; 17/20; 20/23; 20/23; 10/11; 19/20; 17/20; 19/20; 13/15; 9/10; 10/11; 13/15; 9/10; 9/10; 13/14; 10/11; 13/14; ; 5/6; 10/11; 20/21
Draw; 5/2; 12/5; 5/2; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 5/2; 47/20; 5/2; 5/2; 12/5; 40/17; 12/5; 23/10; 12/5; 51/20; 12/5; 40/17; 12/5; 40/17; ; 23/10; 23/10; 23/10
Oldham; 18/5; 16/5; 7/2; 3; 10/3; 3; 33/10; 3; 3; 7/2; 16/5; 16/5; 3; 17/5; 16/5; 16/5; 13/4; 3; 3; 33/10; 18/5; 3; 3; 16/5; 3; ; 7/2; 3; 3
META; english/league-1/bristol-rovers-v-oldham; 2017-04-17 18:20:15 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Bristol Rovers; 13/8; 13/8; 10/11; 13/8; 5/6; 27/20; 31/20; 17/10; ; 6/4; 31/20; 6/4; ; 11/8; ; ; 6/5; 8/5; ; 11/10; ; ; ; ; 17/16; ; ; 7/5; 20/21
Draw; 21/20; 1; 5/2; 23/20; 11/4; 21/20; 23/20; 10/11; ; 20/21; 23/20; 6/5; ; 7/5; ; ; 7/4; 19/20; ; 24/13; ; ; ; ; 37/19; ; ; 6/4; 23/10
Oldham; 4; 4; 7/2; 18/5; 7/2; 18/5; 19/5; 4; ; 7/2; 10/3; 3; ; 17/5; ; ; 56/19; 4; ; 3; ; ; ; ; 56/19; ; ; 7/2; 3
