META; english/league-1/charlton-v-gillingham; 2017-04-14 14:21:11 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/charlton-v-gillingham; 2017-04-14 18:21:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/charlton-v-gillingham; 2017-04-14 22:20:58 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
META; english/league-1/charlton-v-gillingham; 2017-04-17 02:20:16 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; 17/20; 5/6; 17/20; 10/11; 17/20; 4/5; 9/10; 5/6; 9/10; 17/20; 5/6; 5/6; 17/20; 10/11; 5/6; 11/13; 5/6; 4/5; 5/6; 5/6; 19/20; 11/13; 5/6; 17/20; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 28/11; 27/10; 13/5; 28/11; 13/5; 45/17; 13/5; 13/5; 13/5; ; 5/2; 5/2; 13/5
Gillingham; 7/2; 16/5; 31/10; 14/5; 10/3; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 3; 16/5; 10/3; 16/5; 16/5; 16/5; 31/10; 3; 16/5; 13/4; 29/10; 16/5; 16/5; 16/5; ; 3; 3; 3
META; english/league-1/charlton-v-gillingham; 2017-04-17 06:20:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; 17/20; 5/6; 17/20; 10/11; 17/20; 33/40; 9/10; 5/6; 9/10; 17/20; 5/6; 20/23; 17/20; 10/11; 5/6; 11/13; 5/6; 4/5; 5/6; 13/15; 10/11; 11/13; 5/6; 17/20; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 13/5; 5/2; 13/5; 12/5; 13/5; 11/4; 13/5; 27/10; 28/11; 27/10; 13/5; 5/2; 27/10; 45/17; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5
Gillingham; 7/2; 16/5; 31/10; 14/5; 10/3; 14/5; 31/10; 16/5; 3; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 16/5; 16/5; 31/10; 3; 41/13; 10/3; 29/10; 16/5; 16/5; 16/5; ; 3; 3; 3
META; english/league-1/charlton-v-gillingham; 2017-04-17 10:20:11 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; 17/20; 17/20; 17/20; 10/11; 9/10; 33/40; 9/10; 5/6; 9/10; 17/20; 5/6; 20/23; 17/20; 10/11; 5/6; 11/13; 13/15; 4/5; 5/6; 5/6; 10/11; 7/8; 5/6; 17/20; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 13/5; ; 13/5; 5/2; 13/5
Gillingham; 7/2; 16/5; 31/10; 14/5; 16/5; 14/5; 31/10; 16/5; 3; 3; 16/5; 10/3; 16/5; 10/3; 16/5; 16/5; 41/13; 31/10; 3; 16/5; 10/3; 14/5; 16/5; 16/5; 16/5; ; 3; 3; 3
META; english/league-1/charlton-v-gillingham; 2017-04-17 14:20:18 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Charlton; 17/20; 17/20; 17/20; 10/11; 17/20; 33/40; 17/20; 5/6; 9/10; 4/5; 5/6; 5/6; 17/20; 10/11; 4/5; 11/13; 4/5; 4/5; 5/6; 13/15; 17/20; 6/7; 5/6; 5/6; 5/6; ; 4/5; 5/6; 5/6
Draw; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 28/11; 27/10; 13/5; 27/10; 11/4; 45/17; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5
Gillingham; 7/2; 16/5; 7/2; 14/5; 10/3; 14/5; 33/10; 3; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 7/2; 16/5; 57/17; 31/10; 3; 56/19; 18/5; 37/13; 16/5; 10/3; 16/5; ; 10/3; 3; 3
META; english/league-1/charlton-v-gillingham; 2017-04-17 18:20:18 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Charlton; 1/200; 1/250; 9/10; 1/500; 5/6; ; ; 1/200; ; 1/25; 1/25; ; ; 1/20; ; ; 1/25; ; ; 5/18; ; ; ; ; 2/7; ; ; 1/14; 5/6
Draw; 33; 100; 27/10; 45; 11/4; ; ; 100; ; 14; 16; ; ; 14; ; ; 11; ; ; 39/10; ; ; ; ; 15/4; ; ; 15; 13/5
Gillingham; 125; 250; 16/5; 70; 10/3; ; ; 500; ; 66; 55; ; ; 50; ; ; 113/4; ; ; 37/4; ; ; ; ; 17/2; ; ; 69; 3
