Walsall; 4; 18/5; ; ; ; ; 15/4; ; 7/2; 7/2; 7/2; ; ; ; ; 4; 15/4; ; ; ; 15/4; 47/10; ; ; ; ; 5/2; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-08 20:22:31 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 4/6; 2/3; 8/11; ; 7/10; ; 8/11; ; 8/11; 8/11; 7/10; ; 4/6; 13/20; ; 7/10; 4/6; ; ; ; 4/6; 67/100; ; ; ; ; 4/7; ; 
Draw; 14/5; 14/5; 14/5; ; 3; ; 14/5; ; 14/5; 14/5; 27/10; ; 11/4; 29/10; ; 14/5; 27/10; ; ; ; 27/10; 3; ; ; ; ; 13/5; ; 
Walsall; 4; 18/5; 18/5; ; 4; ; 15/4; ; 7/2; 7/2; 7/2; ; 4; 4; ; 4; 19/5; ; ; ; 19/5; 47/10; ; ; ; ; 7/2; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 00:21:25 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 2/3; 13/20; ; 4/6; ; 13/20; ; 4/6; 13/20; 8/13; ; 8/13; 8/13; ; 4/6; 8/13; ; ; ; 8/13; 67/100; ; ; ; ; 8/13; ; 
Draw; 3; 14/5; 29/10; ; 3; ; 3; ; 3; 14/5; 14/5; ; 59/20; 3; ; 3; 37/13; ; ; ; 37/13; 3; ; ; ; ; 14/5; ; 
Walsall; 4; 18/5; 4; ; 9/2; ; 21/5; ; 4; 4; 19/5; ; 17/4; 4; ; 4; 75/19; ; ; ; 75/19; 47/10; ; ; ; ; 4; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 04:21:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 2/3; 13/20; 8/13; 4/6; ; 13/20; 4/7; 4/6; 13/20; 8/13; ; 8/13; 8/13; ; 4/6; 11/18; 7/12; ; 4/7; 11/18; 67/100; ; 7/12; ; ; 8/13; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; ; 3; 3; 3; 14/5; 14/5; ; 59/20; 3; ; 3; 37/13; 56/19; ; 14/5; 37/13; 3; ; 56/19; ; ; 14/5; ; 
Walsall; 4; 18/5; 4; 4; 9/2; ; 21/5; 4; 4; 4; 19/5; ; 17/4; 4; ; 4; 54/13; 9/2; ; 9/2; 54/13; 47/10; ; 9/2; ; ; 4; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 08:21:17 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 2/3; 13/20; 8/13; 4/6; ; 13/20; 4/7; 4/6; 13/20; 8/13; ; 8/13; 8/13; ; 4/6; 11/18; 7/12; ; 4/7; 11/18; 67/100; ; 7/12; ; ; 8/13; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; ; 3; 3; 3; 14/5; 14/5; ; 59/20; 3; ; 3; 37/13; 56/19; ; 14/5; 37/13; 3; ; 56/19; ; ; 14/5; ; 
Walsall; 4; 18/5; 4; 4; 9/2; ; 21/5; 4; 4; 4; 19/5; ; 17/4; 4; ; 4; 41/10; 9/2; ; 9/2; 41/10; 47/10; ; 9/2; ; ; 4; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 12:21:36 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 13/20; 8/13; 4/6; 3/5; 13/20; 4/7; 4/6; 13/20; 6/10; ; 8/13; 8/13; 8/13; 8/13; 11/18; 7/12; 8/13; 4/7; 11/18; 67/100; 4/7; 7/12; ; ; 8/13; 8/13; 
Draw; 3; 29/10; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 14/5; ; 59/20; 3; 3; 3; 37/13; 56/19; 3; 14/5; 37/13; 3; 14/5; 56/19; ; ; 14/5; 14/5; 
Walsall; 4; 4; 17/4; 4; 9/2; 19/5; 21/5; 4; 4; 4; 4; ; 17/4; 4; 17/4; 9/2; 41/10; 9/2; 4; 9/2; 41/10; 47/10; 7/2; 9/2; ; ; 4; 7/2; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 16:22:13 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 13/20; 8/13; 4/6; 3/5; 13/20; 4/7; 8/13; 8/13; 6/10; 8/15; 8/13; 8/13; 8/13; 8/13; 11/18; 8/13; 4/7; 11/18; 67/100; 4/7; 7/12; 8/13; ; 4/7; 8/13; 
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 29/10; 3; 3; 3; 29/10; 3; 14/5; 29/10; 3; 14/5; 56/19; 14/5; ; 14/5; 14/5; 
Walsall; 4; 17/4; 17/4; 9/2; 9/2; 19/5; 17/4; 4; 17/4; 17/4; 21/5; 7/2; 17/4; 4; 17/4; 9/2; 21/5; 4; 9/2; 21/5; 47/10; 7/2; 9/2; 4; ; 4; 4; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-09 20:21:58 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 13/20; 8/13; 4/6; 3/5; 13/20; 1/2; 8/13; 8/13; 6/10; 8/15; 8/13; 8/13; 8/13; 8/13; 11/18; 8/13; 4/7; 11/18; 67/100; 4/7; 7/12; 8/13; ; 8/13; 8/13; 
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 29/10; 3; 3; 3; 29/10; 3; 14/5; 29/10; 3; 14/5; 56/19; 14/5; ; 14/5; 11/4; 
Walsall; 4; 17/4; 17/4; 9/2; 9/2; 19/5; 17/4; 4; 17/4; 17/4; 21/5; 7/2; 17/4; 4; 17/4; 9/2; 21/5; 4; 9/2; 21/5; 47/10; 7/2; 9/2; 4; ; 22/5; 4; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-10 00:21:42 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 8/13; 8/13; 4/6; 3/5; 8/13; 1/2; 8/13; 8/13; 6/10; 8/15; 3/5; 8/13; 8/13; 8/13; 10/17; 8/13; 4/7; 10/17; 67/100; 4/7; 7/12; 6/10; ; 4/7; 4/7; 
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 59/20; 3; 3; 3; 29/10; 3; 14/5; 29/10; 3; 14/5; 56/19; 14/5; ; 14/5; 14/5; 
Walsall; 4; 17/4; 9/2; 9/2; 9/2; 19/5; 9/2; 4; 9/2; 17/4; 17/4; 7/2; 17/4; 4; 17/4; 9/2; 43/10; 4; 9/2; 43/10; 47/10; 7/2; 9/2; 17/4; ; 21/5; 21/5; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-10 04:21:40 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 8/13; 8/13; 4/6; 3/5; 8/13; 1/2; 8/13; 8/13; 6/10; 8/15; 3/5; 8/13; 8/13; 8/13; 10/17; 8/13; 4/7; 10/17; 67/100; 4/7; 7/12; 6/10; ; 4/7; 4/7; 
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 59/20; 3; 3; 3; 29/10; 3; 14/5; 29/10; 3; 14/5; 56/19; 14/5; ; 14/5; 14/5; 
Walsall; 4; 17/4; 9/2; 9/2; 9/2; 19/5; 9/2; 4; 9/2; 17/4; 17/4; 7/2; 17/4; 4; 17/4; 9/2; 43/10; 4; 9/2; 43/10; 47/10; 7/2; 9/2; 17/4; ; 21/5; 21/5; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-10 08:21:49 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 8/13; 8/13; 4/6; 4/7; 8/13; 1/2; 8/13; 8/13; 6/10; 8/15; 3/5; 8/13; 8/13; 8/13; 10/17; 8/13; 4/7; 10/17; 67/100; 4/7; 7/12; 6/10; ; 4/7; ; 
Draw; 3; 14/5; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 59/20; 3; 3; 3; 29/10; 3; 14/5; 29/10; 3; 14/5; 56/19; 14/5; ; 14/5; ; 
Walsall; 4; 17/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 9/2; 17/4; 17/4; 7/2; 17/4; 4; 17/4; 9/2; 43/10; 4; 9/2; 43/10; 47/10; 7/2; 9/2; 17/4; ; 21/5; ; 
META; english/league-1/walsall-v-sheffield-utd; 2017-01-10 12:22:05 GMT+2; 2017-01-14 15:00; e70300-dr003
Sheffield Utd; 8/13; 8/13; 8/13; 8/13; 4/6; 4/7; 8/13; 1/2; 8/13; 8/13; 6/10; 8/15; 3/5; 8/13; 8/13; 8/13; 10/17; 8/13; 4/7; 10/17; 67/100; 4/7; 7/12; 6/10; ; 4/7; 4/7; 
Draw; 3; 29/10; 29/10; 14/5; 3; 14/5; 3; 3; 3; 14/5; 11/4; 3; 59/20; 3; 3; 3; 56/19; 3; 14/5; 56/19; 3; 14/5; 56/19; 14/5; ; 14/5; 14/5; 
