META; english/league-1/bolton-v-chesterfield; 2017-03-26 04:21:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 08:21:17 GMT+2; 2017-03-25 19:00; e70300-dr003
CA Penapolense; 5/4; 5/4; 11/8; 6/5; ; 1; 7/5; ; 13/10; 6/4; ; ; 13/10; ; ; ; 23/17; 21/20; 5/4; 23/17; ; ; 5/4; ; 5/4; ; 11/8; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-31 07:46:16 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 6/17; 4/11; 1/3; 6/17; 2/5; 2/5; 10/29; 4/11; 10/29; ; 4/11; 4/11; 2/5
Draw; 17/4; 18/5; 37/10; 16/5; 19/5; 10/3; 4; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 7/2; 4; 50/13; 7/2; 7/2; 50/13; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 9; 7; 15/2; 13/2; 17/2; 13/2; 15/2; 8; 15/2; 15/2; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 15/2; 15/2; ; 39/5; 39/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-31 08:19:10 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 2/5; 4/11; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 2/5; 4/11; 6/17; 4/11; 1/3; 6/17; 2/5; 2/5; 10/29; 4/11; 10/29; ; 4/11; 4/11; 2/5
Draw; 17/4; 18/5; 37/10; 16/5; 19/5; 10/3; 4; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 7/2; 4; 50/13; 7/2; 7/2; 50/13; 4; 7/2; 39/10; 7/2; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 9; 7; 15/2; 13/2; 17/2; 13/2; 15/2; 8; 15/2; 15/2; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 32/5; ; 15/2; 15/2; ; 39/5; 39/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-31 08:24:18 GMT+3; 2017-04-02 15:15; e70300-dr003
PAOK Saloniki 2-0; 6; ; 6; ; ; 5; ; ; ; ; 6; 6; 11/2; ; ; ; ; 6; ; ; ; ; ; 5; ; ; ; ; 
PAOK Saloniki 3-0; 13/2; ; 13/2; ; ; 11/2; ; ; ; ; 13/2; 13/2; 13/2; ; ; ; ; 13/2; ; ; ; ; ; 11/2; ; ; ; ; 
PAOK Saloniki 2-1; 17/2; ; 17/2; ; ; 8; ; ; ; ; 17/2; 8; 8; ; ; ; ; 8; ; ; ; ; ; 8; ; ; ; ; 
PAOK Saloniki 1-0; 9; ; 17/2; ; ; 15/2; ; ; ; ; 8; 8; 15/2; ; ; ; ; 31/4; ; ; ; ; ; 15/2; ; ; ; ; 
PAOK Saloniki 3-1; 9; ; 9; ; ; 17/2; ; ; ; ; 9; 9; 9; ; ; ; ; 9; ; ; ; ; ; 17/2; ; ; ; ; 
PAOK Saloniki 4-0; 9; ; 9; ; ; 17/2; ; ; ; ; 9; 10; 9; ; ; ; ; 19/2; ; ; ; ; ; 9; ; ; ; ; 
Any Other Score; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; 12; ; ; ; ; 
Draw 1-1; 11; ; 12; ; ; 12; ; ; ; ; 12; 11; 12; ; ; ; ; 12; ; ; ; ; ; 12; ; ; ; ; 
PAOK Saloniki 4-1; 14; ; 13; ; ; 12; ; ; ; ; 14; 12; 12; ; ; ; ; 25/2; ; ; ; ; ; 12; ; ; ; ; 
PAOK Saloniki 5-0; 16; ; ; ; ; 12; ; ; ; ; 16; 16; 20; ; ; ; ; ; ; ; ; ; ; 15; ; ; ; ; 
Draw 0-0; 20; ; 22; ; ; 20; ; ; ; ; 22; 20; 18; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 3-2; 25; ; 22; ; ; 20; ; ; ; ; 25; 22; 25; ; ; ; ; 22; ; ; ; ; ; 25; ; ; ; ; 
PAOK Saloniki 5-1; 22; ; ; ; ; 20; ; ; ; ; 25; 22; 25; ; ; ; ; ; ; ; ; ; ; 22; ; ; ; ; 
Draw 2-2; 22; ; 22; ; ; 20; ; ; ; ; 22; 22; 28; ; ; ; ; 22; ; ; ; ; ; 25; ; ; ; ; 
PAOK Saloniki 4-2; 33; ; 30; ; ; 28; ; ; ; ; 33; 33; 33; ; ; ; ; 30; ; ; ; ; ; 33; ; ; ; ; 
Larisa 1-0; 33; ; 35; ; ; 25; ; ; ; ; 40; 33; 40; ; ; ; ; 30; ; ; ; ; ; 33; ; ; ; ; 
Larisa 2-1; 33; ; 33; ; ; 28; ; ; ; ; 40; 33; 33; ; ; ; ; 33; ; ; ; ; ; 33; ; ; ; ; 
PAOK Saloniki 6-0; 33; ; ; ; ; 25; ; ; ; ; 33; 33; 45; ; ; ; ; ; ; ; ; ; ; 28; ; ; ; ; 
PAOK Saloniki 6-1; 40; ; ; ; ; 40; ; ; ; ; 45; 40; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-2; 50; ; ; ; ; 50; ; ; ; ; 55; 50; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 2-0; 66; ; 90; ; ; 80; ; ; ; ; 90; 66; 70; ; ; ; ; 80; ; ; ; ; ; 80; ; ; ; ; 
PAOK Saloniki 7-0; 50; ; ; ; ; 66; ; ; ; ; 70; 66; 90; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 3-3; 66; ; 66; ; ; 80; ; ; ; ; 70; 66; 100; ; ; ; ; 100; ; ; ; ; ; 66; ; ; ; ; 
Larisa 3-2; 66; ; 70; ; ; 80; ; ; ; ; 80; 66; 90; ; ; ; ; 125; ; ; ; ; ; 66; ; ; ; ; 
PAOK Saloniki 4-3; 80; ; 85; ; ; 80; ; ; ; ; 90; 80; 125; ; ; ; ; 125; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 6-2; 80; ; ; ; ; 80; ; ; ; ; 90; 80; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 7-1; 66; ; ; ; ; 80; ; ; ; ; 90; 80; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 3-1; 80; ; 100; ; ; 100; ; ; ; ; 100; 100; 100; ; ; ; ; 150; ; ; ; ; ; 80; ; ; ; ; 
PAOK Saloniki 8-0; 125; ; ; ; ; 150; ; ; ; ; 125; 100; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-3; 125; ; ; ; ; 150; ; ; ; ; 125; 100; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 7-2; 150; ; ; ; ; 150; ; ; ; ; 150; 150; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 8-1; 150; ; ; ; ; 150; ; ; ; ; 150; 150; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Larisa 5-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Larisa 5-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 5-4; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; 125; ; ; ; ; 
Larisa 6-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 8-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 8-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 9-0; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 5-4; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 3-0; 200; ; 250; ; ; 250; ; ; ; ; 150; 150; 150; ; ; ; ; 250; ; ; ; ; ; 125; ; ; ; ; 
Larisa 4-0; ; ; 250; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; 250; ; ; ; ; ; 125; ; ; ; ; 
PAOK Saloniki 6-3; 250; ; ; ; ; 250; ; ; ; ; 150; 150; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-2; 300; ; 225; ; ; ; ; ; ; ; 150; 150; 175; ; ; ; ; 250; ; ; ; ; ; 125; ; ; ; ; 
Larisa 4-3; 300; ; 225; ; ; ; ; ; ; ; 150; 150; 175; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 350; ; 250; ; ; ; ; ; ; ; 150; ; 200; ; ; ; ; 250; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 9-0; 350; ; ; ; ; ; ; ; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Larisa 4-1; 400; ; 250; ; ; ; ; ; ; ; 200; ; 175; ; ; ; ; 250; ; ; ; ; ; 125; ; ; ; ; 
PAOK Saloniki 8-2; 450; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PAOK Saloniki 9-1; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-31 12:54:17 GMT+3; 2017-04-02 15:00; e70300-dr003
Draw 1-1; 11/2; 6; 13/2; ; 11/2; 5; 6; 13/2; 11/2; 6; 6; 11/2; 6; ; 11/2; 6; 7; 6; 13/2; 7; ; 28/5; 13/2; 11/2; 13/2; ; 29/5; 6; 
Lausanne 2-1; 17/2; 8; 17/2; ; 15/2; 15/2; 8; 17/2; 17/2; 8; 8; 15/2; 8; ; 8; 8; 9; 17/2; 17/2; 9; ; 42/5; 17/2; 15/2; 17/2; ; 41/5; 17/2; 
Grasshoppers 2-1; 9; 9; 9; ; 8; 17/2; 17/2; 9; 9; 9; 9; 8; 9; ; 9; 17/2; 10; 9; 19/2; 10; ; 9; 19/2; 17/2; 19/2; ; 9; 46/5; 
Lausanne 1-0; 10; 10; 10; ; 9; 17/2; 19/2; 10; 9; 9; 10; 9; 9; ; 9; 9; 41/4; 19/2; 10; 41/4; ; 10; 10; 9; 10; ; 19/2; 43/5; 
Grasshoppers 1-0; 11; 11; 11; ; 10; 19/2; 21/2; 10; 10; 10; 11; 9; 10; ; 9; 10; 11; 10; 11; 11; ; 10; 11; 10; 11; ; 10; 51/5; 
Draw 2-2; 10; 10; 11; ; 10; 9; 21/2; 10; 10; 10; 10; 9; 10; ; 10; 10; 51/4; 11; 23/2; 51/4; ; 11; 23/2; 10; 23/2; ; 52/5; 53/5; 
Lausanne 2-0; 12; 12; 13; ; 11; 11; 12; 13; 12; 12; 12; 11; 12; ; 11; 12; 13; 27/2; 13; 13; ; 13; 13; 12; 13; ; 62/5; 63/5; 
Draw 0-0; 14; 11; 14; ; 11; 12; 21/2; 9; 12; 12; 14; 12; 9; ; 12; 11; 39/4; 33/4; 23/2; 39/4; ; 14; 23/2; ; 23/2; ; 66/5; 68/5; 
Grasshoppers 2-0; 14; 14; 16; ; 14; 14; 15; 14; 14; 14; 16; 14; 16; ; 12; 14; 61/4; 14; 15; 61/4; ; 15; 15; 14; 15; ; 73/5; 73/5; 
Lausanne 3-1; 16; 16; 16; ; 14; 12; 15; 17; 16; 16; 16; 14; 16; ; 14; 16; 69/4; 33/2; 16; 69/4; ; 17; 16; 15; 16; ; 16; 17; 
Grasshoppers 3-1; 20; 18; 18; ; 16; 16; 17; 19; 18; 18; 18; 16; 18; ; 18; 18; 20; 18; 19; 20; ; 20; 19; 18; 19; ; 20; 20; 
Any Other Score; ; ; 20; ; ; ; ; 19; 22; ; ; ; ; ; ; ; ; 35/2; ; ; ; 20; ; 20; ; ; ; ; 
Lausanne 3-0; 22; 22; 25; ; 20; 20; 21; 25; 25; 22; 25; 20; 25; ; 20; 22; 47/2; 25; 22; 47/2; ; 25; 22; 22; 22; ; 10/3; 27; 
Lausanne 3-2; 22; 20; 20; ; 18; 16; 19; 20; 22; 20; 20; 16; 20; ; 20; 18; 93/4; 22; 21; 93/4; ; 25; 21; 18; 21; ; 20; 20; 
Grasshoppers 3-2; 22; 20; 22; ; 18; 20; 19; 22; 25; 22; 22; 18; 22; ; 20; 20; 95/4; 22; 23; 95/4; ; 25; 23; 20; 23; ; 23; 23; 
Grasshoppers 3-0; 28; 28; 30; ; 25; 25; 28; 30; 28; 28; 33; 22; 33; ; 22; 28; 57/2; 25; 26; 57/2; ; 30; 26; 28; 26; ; 7/2; 35; 
Draw 3-3; 33; 33; 33; ; 28; 28; 30; 35; 40; 33; 33; 25; 40; ; 28; 33; 159/4; 40; 38; 159/4; ; 45; 38; 33; 38; ; 39; 40; 
Lausanne 4-1; 40; 40; 35; ; 33; 28; 35; 45; 40; 33; 40; 25; 40; ; 28; 33; 149/4; 40; 34; 149/4; ; 45; 34; 33; 34; ; ; ; 
Grasshoppers 4-1; 40; 40; 45; ; 33; 40; 35; 50; 50; 40; 45; 33; 50; ; 40; 40; 87/2; 50; 40; 87/2; ; 50; 40; 40; 40; ; ; ; 
Lausanne 4-2; 40; 40; 45; ; 40; 40; 45; 50; 50; 40; 45; 33; 45; ; 40; 40; 46; 50; 50; 46; ; 60; 50; 40; 50; ; ; ; 
Grasshoppers 4-2; 50; 50; 50; ; 40; 50; 45; 55; 66; 50; 50; 33; 55; ; 50; 40; 51; 50; 55; 51; ; 60; 55; 40; 55; ; ; ; 
Lausanne 4-0; 50; 50; 50; ; 40; 50; 45; 70; 50; 50; 55; 33; 60; ; 50; 50; 189/4; 66; 45; 189/4; ; 60; 45; 50; 45; ; ; ; 
Grasshoppers 4-0; 50; 66; 66; ; 50; 66; 55; 80; 80; 66; 70; 40; 75; ; 50; 50; 57; 66; 60; 57; ; 80; 60; 66; 60; ; ; ; 
Lausanne 4-3; 66; 66; 75; ; 66; 80; 70; 80; ; 75; 70; 40; 75; ; 80; 66; 273/4; 80; 90; 273/4; ; 110; 90; ; 90; ; ; ; 
Lausanne 5-1; 80; 80; ; ; 66; 80; 70; 125; 100; 90; 90; 50; 100; ; 80; 80; 72; ; 90; 72; ; ; 90; 80; 90; ; ; ; 
Grasshoppers 4-3; 80; 80; 75; ; 66; 80; 70; 90; ; 80; 80; 50; 80; ; 80; 66; 283/4; 150; 100; 283/4; ; 120; 100; ; 100; ; ; ; 
Lausanne 5-2; 100; 100; ; ; 80; 80; 90; 150; ; 100; 100; 50; 125; ; 100; 80; 327/4; ; 120; 327/4; ; ; 120; ; 120; ; ; ; 
Grasshoppers 5-1; 100; 100; ; ; 80; 100; 90; 175; 100; 125; 100; 50; 125; ; 100; 80; 323/4; ; 110; 323/4; ; ; 110; 80; 110; ; ; ; 
Grasshoppers 5-2; 125; 100; ; ; 100; 100; 110; 175; ; 125; 125; 66; 125; ; 100; 100; 88; ; 140; 88; ; ; 140; ; 140; ; ; ; 
Grasshoppers 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 5-0; 100; 100; ; ; 80; 100; 90; 225; 100; 125; 100; 50; 125; ; 100; 80; 327/4; ; 120; 327/4; ; ; 120; 80; 120; ; ; ; 
Draw 4-4; 125; ; 150; ; 100; 100; 110; 175; ; 150; 125; 66; 125; ; 125; 100; 191/2; 250; 200; 191/2; ; 240; 200; ; 200; ; ; ; 
Lausanne 5-3; 150; ; ; ; 125; 150; 150; 250; ; 175; 125; 66; 150; ; 150; 125; ; ; 250; ; ; ; 250; ; 250; ; ; ; 
Grasshoppers 5-0; 125; 125; ; ; 100; 150; 110; 275; 100; 175; 125; 66; 150; ; 150; 100; 367/4; ; 150; 367/4; ; ; 150; 100; 150; ; ; ; 
Grasshoppers 5-3; 200; ; ; ; 125; 200; 150; 275; ; 175; 150; 66; 150; ; 200; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Grasshoppers 6-2; ; ; ; ; 150; ; 175; ; ; 300; 150; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 6-3; ; ; ; ; 200; ; ; ; ; 350; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 6-3; ; ; ; ; ; ; ; ; ; 375; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 6-2; 350; ; ; ; 150; ; 175; ; ; 250; 150; 80; 175; ; ; 150; ; ; 375; ; ; ; 375; ; 375; ; ; ; 
Lausanne 5-4; ; ; ; ; 150; ; ; 425; ; 275; 150; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 5-5; ; ; ; ; ; ; ; ; ; 450; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 6-4; ; ; ; ; ; ; ; ; ; 475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 7-2; ; ; ; ; ; ; ; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 5-4; ; ; ; ; 200; ; ; 500; ; 300; 150; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 6-0; ; 300; ; ; 200; ; 225; 500; 100; 350; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; 125; ; ; ; ; 
Grasshoppers 6-1; 300; ; ; ; 200; ; 225; 500; ; 275; 150; ; 175; ; ; 200; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Grasshoppers 7-0; ; ; ; ; 250; ; 275; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 7-1; ; ; ; ; 200; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Grasshoppers 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 6-0; 350; 250; ; ; 200; ; 225; 500; 100; 275; 150; 80; 175; ; ; 200; ; ; 375; ; ; ; 375; 125; 375; ; ; ; 
Lausanne 6-1; 250; ; ; ; 150; 250; 175; 500; ; 225; 150; 66; 150; ; 250; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Lausanne 7-0; ; ; ; ; 200; ; 225; 500; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 7-1; ; ; ; ; 200; ; 225; 500; ; 425; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 8-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 8-1; ; ; ; ; 200; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lausanne 9-0; ; ; ; ; 200; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-31 13:46:49 GMT+3; 2017-06-09 18:45; e70300-dr003
Portugal; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/7; ; ; 2/13; ; ; 3/20; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; 25/4; ; ; 89/10; ; ; ; ; ; ; ; 
Latvia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; 14; ; ; 19; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-31 15:47:10 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 2/5; 4/11; 4/11; 4/11; 7/20; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 4/11; 6/17; 4/11; 1/3; 6/17; 2/5; 2/5; 10/29; 4/11; 10/29; ; 4/11; 4/11; 2/5
Draw; 17/4; 18/5; 37/10; 19/5; 19/5; 10/3; 21/5; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 19/5; 4; 50/13; 7/2; 7/2; 50/13; 4; 7/2; 39/10; 15/4; 39/10; ; 7/2; 7/2; 7/2
Chesterfield; 9; 7; 15/2; 15/2; 17/2; 7; 8; 7; 15/2; 7; 15/2; 8; 8; 8; 8; 15/2; 15/2; 8; 15/2; 15/2; 8; 13/2; ; 8; 15/2; ; 8; 39/5; 8
META; english/league-1/bolton-v-chesterfield; 2017-03-31 21:46:49 GMT+3; 2017-04-01 15:00; e70300-dr003
Partick; 1; 11/10; ; 11/10; 11/10; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 1; 21/20; 21/20; 57/50; 21/20; 15/14; 21/20; 11/10; ; 1; 10/11; 10/9
Draw; 13/5; 23/10; ; 9/4; 12/5; 23/10; 13/5; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 9/4; 12/5; 40/17; 5/2; 9/4; 40/17; 58/25; 40/17; 9/4; 12/5; 23/10; ; 12/5; 12/5; 12/5
Ross County; 5/2; 13/5; ; 13/5; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 53/20; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 57/20; 11/4; 5/2; 5/2; 28/11; ; 13/5; 23/10; 11/4
META; english/league-1/bolton-v-chesterfield; 2017-04-01 04:18:29 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 2/5; 4/11; 4/11; 4/11; 1/3; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 4/11; 1/3; 4/11; 1/3; 1/3; 4/11; 2/5; 10/29; 4/11; 10/29; ; 4/11; 4/11; 4/11
Draw; 17/4; 18/5; 37/10; 19/5; 19/5; 10/3; 21/5; 7/2; 19/5; 15/4; 15/4; 7/2; 15/4; 19/5; 4; 4; 50/13; 7/2; 7/2; 50/13; 41/10; 7/2; 39/10; 15/4; 39/10; ; 4; 7/2; 7/2
Chesterfield; 9; 7; 15/2; 15/2; 17/2; 7; 8; 7; 15/2; 8; 8; 8; 8; 8; 8; 15/2; 33/4; 8; 15/2; 33/4; 19/2; 13/2; ; 17/2; 15/2; ; 17/2; 39/5; 9
META; english/league-1/bolton-v-chesterfield; 2017-04-01 05:46:32 GMT+3; 2017-04-08 19:00; e70300-dr003
Genk; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; ; ; 4/9; ; 5/11; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; 17/5; ; 17/5; ; ; ; 
Roeselare; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; 6; ; 6; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-04-01 09:46:40 GMT+3; 2017-03-31 19:45; e70300-dr003
Cork City; 8/11; 7/10; 8/11; ; ; 7/10; 4/5; 3/4; 4/6; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 8/11; 14/19; ; 8/11; 14/19; 4/5; 10/13; 14/19; 3/4; 14/19; ; 8/11; 8/11; 4/5
Draw; 13/5; 12/5; 13/5; ; ; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 14/5; 11/4; 12/5; 13/5; 13/5; 45/17; ; 12/5; 45/17; 29/10; 11/4; 27/11; 13/5; 27/11; ; 13/5; 5/2; 14/5
Limerick; 15/4; 16/5; 17/5; ; ; 16/5; 17/5; 10/3; 10/3; 10/3; 16/5; 10/3; 10/3; 10/3; 16/5; 7/2; 38/11; ; 7/2; 38/11; 37/10; 16/5; 7/2; 16/5; 7/2; ; 3; 3; 7/2
META; english/league-1/bolton-v-chesterfield; 2017-04-01 13:02:55 GMT+3; 2017-04-01 15:00; e70300-dr003
Bolton; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 2/5; 2/5; 1/3; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 1/3; 4/11; 1/3; 1/3; 4/11; 6/17; 10/29; 4/11; 10/29; ; 4/11; 4/11; 4/11
Draw; 17/4; 18/5; 15/4; 19/5; 19/5; 7/2; 4; 7/2; 4; 7/2; 15/4; 7/2; 15/4; 19/5; 4; 7/2; 19/5; 7/2; 7/2; 19/5; 41/10; 15/4; 37/10; 15/4; 37/10; ; 4; 7/2; 4
Chesterfield; 9; 15/2; 15/2; 15/2; 17/2; 15/2; 15/2; 7; 8; 8; 8; 8; 17/2; 9; 8; 8; 33/4; 8; 9; 33/4; 19/2; 73/10; 9; 9; 9; ; 17/2; 39/5; 9
META; english/league-1/bolton-v-chesterfield; 2017-04-01 15:46:06 GMT+3; 2017-04-02 15:00; e70300-dr003
