META; english/league-1/fleetwood-v-bradford; 2017-02-11 16:25:43 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-11 20:21:19 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Bradford; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Bradford; 31/20; 7/5; 6/4; 6/4; 6/4; 29/20; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 6/4; 6/4; 41/25; 16/11; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 2; 2; 2; 19/10; 2; 20/11; 2; 17/10; 2; 2; 19/10; 19/10; 21/10; 21/10; 15/8; 2; 37/19; 7/4; 19/10; 37/19; 103/50; 19/10; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 9/4; 41/20; 11/5; 11/5; 2; 9/4; 11/5; 2; 2; 11/5; 21/10; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 85/40; 28/13; 39/19; 21/10; ; 2; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 17:45:51 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 7/5; 6/4; 6/4; 6/4; 29/20; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 6/4; 6/4; 41/25; 16/11; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 2; 2; 2; 19/10; 2; 20/11; 2; 17/10; 2; 2; 19/10; 19/10; 21/10; 21/10; 15/8; 2; 37/19; 7/4; 19/10; 37/19; 103/50; 19/10; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 9/4; 41/20; 11/5; 11/5; 2; 9/4; 11/5; 2; 2; 11/5; 21/10; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 85/40; 28/13; 39/19; 21/10; ; 2; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 18:32:26 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 11/8; 6/4; 6/4; 6/4; 29/20; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 6/4; 6/4; 41/25; 16/11; 6/4; 6/4; ; 6/4; 6/4; 
Fleetwood; 2; 21/10; 2; 19/10; 2; 20/11; 2; 17/10; 2; 2; 19/10; 19/10; 21/10; 21/10; 15/8; 2; 37/19; 7/4; 19/10; 37/19; 103/50; 19/10; 37/19; 2; ; 19/10; 9/5; 
Draw; 23/10; 11/5; 41/20; 11/5; 11/5; 2; 9/4; 11/5; 2; 2; 11/5; 21/10; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 2; 39/19; 85/40; 28/13; 39/19; 21/10; ; 2; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 19:45:51 GMT+2; 2017-02-14 19:45; e70300-dr003
