META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 16:23:12 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 21/20; 7/5; 13/10; 27/20; 11/8; 27/20; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 13/10; 13/10; 
Bristol Rovers; 11/5; 2; 19/10; 2; 11/5; 19/10; 85/40; 21/10; 2; 19/10; 9/5; 19/10; 39/20; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 2; 21/10; ; 19/10; 2; 2; ; 2; 7/4; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; 9/4; 2; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 20:21:48 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 17/10; 6/4; 9/5; 7/4; 7/4; 33/20; 6/4; 6/5; 8/5; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 8/5; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Bristol Rovers; 6/4; 13/8; 6/4; 6/4; 13/8; 29/20; 9/5; 7/4; 7/4; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 6/4; 17/10; 28/17; 17/10; 6/4; 91/50; 6/4; 17/10; 6/4; ; 6/4; 11/8; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 9/4; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 21:46:21 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 17/10; 6/4; 9/5; 7/4; 9/5; 33/20; 17/10; 6/5; 7/4; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 7/4; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Bristol Rovers; 6/4; 13/8; 6/4; 6/4; 8/5; 29/20; 13/8; 7/4; 8/5; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 6/4; 17/10; 28/17; 17/10; 6/4; 91/50; 6/4; 17/10; 6/4; ; 6/4; 11/8; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 9/4; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-31 23:46:18 GMT+2; 2017-01-02 15:00; e70300-dr003
Bristol Rovers; 6/4; 13/8; 29/20; 6/4; 8/5; 29/20; 8/5; 7/4; 8/5; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 17/10; 28/17; 17/10; 17/11; 91/50; 6/4; 17/10; 6/4; ; 6/4; 11/8; 
Charlton; 17/10; 6/4; 37/20; 7/4; 9/5; 33/20; 17/10; 6/5; 7/4; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 7/4; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 23/10; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2017-01-01 00:21:47 GMT+2; 2017-01-02 15:00; e70300-dr003
Bristol Rovers; 6/4; 13/8; 29/20; 6/4; 8/5; 29/20; 8/5; 7/4; 8/5; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 17/10; 28/17; 17/10; 17/11; 91/50; 6/4; 17/10; 6/4; ; 6/4; 11/8; 
Charlton; 17/10; 6/4; 37/20; 7/4; 9/5; 33/20; 17/10; 6/5; 7/4; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 7/4; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 23/10; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2017-01-01 00:43:41 GMT+2; 2017-01-02 15:00; e70300-dr003
Bristol Rovers; 6/4; 13/8; 29/20; 6/4; 8/5; 29/20; 8/5; 7/4; 8/5; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 17/10; 28/17; 17/10; 17/11; 91/50; 6/4; 17/10; 6/4; ; 6/4; 11/8; 
Charlton; 17/10; 6/4; 37/20; 7/4; 9/5; 33/20; 17/10; 6/5; 7/4; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 7/4; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 9/4; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2017-01-01 01:46:20 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 17/10; 6/4; 9/5; 7/4; 9/5; 33/20; 17/10; 6/5; 7/4; 17/10; 7/4; 17/10; 33/20; 7/4; 17/10; 7/4; 17/10; 8/5; 17/11; 8/5; 17/10; 33/20; 6/4; 8/5; 7/4; ; 13/8; 7/4; 
Bristol Rovers; 6/4; 13/8; 6/4; 6/4; 8/5; 29/20; 8/5; 7/4; 8/5; 6/4; 29/20; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 17/10; 28/17; 17/10; 17/11; 91/50; 6/4; 17/10; 6/4; ; 8/5; 11/8; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 40/17; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 23/10; 19/10; 
META; english/league-1/charlton-v-bristol-rovers; 2017-01-01 03:46:18 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 17/10; 6/4; 8/5; 13/8; 17/10; 29/20; 17/10; 6/5; 7/4; 13/8; 31/20; 17/10; 13/8; 17/10; 17/10; 8/5; 28/17; 8/5; 17/11; 8/5; 28/17; 33/20; 6/4; 8/5; 13/8; ; 8/5; 6/4; 
