META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-20 18:23:53 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 1; ; 11/10; ; 11/10; 21/20; 23/20; ; 21/20; 11/10; 11/10; ; 21/20; ; ; ; 21/20; ; ; 21/20; 6/5; 10/9; ; ; ; ; ; ; 
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 11/5; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 14:23:53 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 10/9; 23/20
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 2; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 18:28:43 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 6/5; 10/9; 19/17; 11/10; 8/7; ; 21/20; 10/9; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 11/5; 21/10; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 71/25; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-25 22:24:41 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 61/50; 10/9; 19/17; 23/20; 8/7; ; 10/9; 10/9; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 11/5; 21/10; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 13/5; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 141/50; 28/13; 28/11; 23/10; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 02:27:10 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 21/20; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 121/100; 10/9; 19/17; 23/20; 8/7; ; 21/20; 10/9; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 11/5; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 23/10; 28/13; ; 11/5; 11/5; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 5/2; 23/10; 27/10; 5/2; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 141/50; 28/13; 28/11; 23/10; 13/5; ; 13/5; 13/5; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 06:25:05 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 11/10; 11/10; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 15/13; 11/10; 10/9; 15/13; 6/5; 22/19; 19/17; 11/10; 8/7; ; 10/9; 10/9; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 56/25; 11/5; 21/10; 23/10; 28/13; ; 11/5; 11/5; 23/10
Zaragoza; 13/5; 12/5; 12/5; 23/10; 5/2; 23/10; 13/5; 5/2; 23/10; 13/5; 12/5; 12/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 141/50; 9/4; 28/11; 23/10; 13/5; ; 27/10; 13/5; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 10:24:37 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 121/100; 8/7; 19/17; 11/10; 8/7; ; 10/9; 10/9; 
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 21/10; 9/4; 21/10; 2; 21/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 28/13; ; 11/5; 11/5; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 5/2; 12/5; 27/10; 5/2; 23/10; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 14/5; 40/17; 28/11; 23/10; 13/5; ; 11/4; 27/10; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 14:27:09 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 1; 11/10; 23/20; 23/20; 11/10; 21/20; 23/20; 23/20; 11/10; 11/10; 11/10; 10/9; ; 5/4; 8/7; 19/17; 11/10; 8/7; ; 10/9; 10/9; 
Draw; 11/5; 85/40; 21/10; 21/10; 11/5; 41/20; 9/4; 21/10; 2; 21/10; 21/10; 9/4; 23/10; 23/10; 21/10; 11/5; 21/10; 11/5; 21/10; ; 54/25; 11/5; 21/10; 9/4; 28/13; ; 11/5; 11/5; 23/10
Zaragoza; 13/5; 12/5; 49/20; 23/10; 5/2; 12/5; 13/5; 5/2; 23/10; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 5/2; 45/17; 27/10; 5/2; ; 139/50; 40/17; 28/11; 12/5; 13/5; ; 11/4; 11/4; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 18:28:04 GMT+2; 2017-03-26 18:30; Nothing; Xlenovo
Elche; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 10/9; 11/10; 59/50; 7/6; 19/17; 11/10; 8/7; ; 10/9; 10/9; 
Draw; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 9/4; 28/13; ; 21/10; 21/10; 23/10
Zaragoza; 13/5; 12/5; 5/2; 23/10; 13/5; 12/5; 11/4; 5/2; 23/10; 13/5; 12/5; 5/2; 13/5; 12/5; 5/2; 5/2; 45/17; 27/10; 5/2; 45/17; 143/50; 9/4; 28/11; 12/5; 13/5; ; 11/4; 11/4; 
META; spain/la-liga-segunda/elche-v-zaragoza; 2017-03-26 22:25:23 GMT+2; 2017-03-26 18:30; In Play; Xlenovo
Zaragoza; 1/40; 1/33; 1/33; ; 1/33; 1/200; 1/40; 1/80; ; 1/40; 1/40; 1/40; ; 1/40; ; ; 1/33; 1/100; ; 1/33; ; ; ; 1/33; 1/33; ; ; 1/25; 
Draw; 18; 20; 12; ; 18; 11; 12; 20; ; 16; 22; 16; ; 20; ; ; 37/4; 23/2; ; 37/4; ; ; ; 18; 16; ; ; 27; 23/10
Elche; 50; 66; 30; ; 50; 40; 55; 70; ; 40; 66; 50; ; 55; ; ; 87; 33; ; 87; ; ; ; 50; 60; ; ; 53; 
