META; english/championship/norwich-v-reading; 2017-04-02 06:47:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 10:49:55 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Norwich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-reading; 2017-04-02 14:50:10 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 1; 1; ; ; ; ; 1; ; 21/20; ; ; ; ; 1; ; 1; 1; ; ; 1; ; ; ; ; ; ; 10/11; ; 
Norwich; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 1; 19/20; 9/10; 1; 19/20; ; 10/11; 42/41; 10/11; 21/20; ; 20/21; ; 
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 27/10; 13/5; 5/2; 13/5; 13/5; 12/5; 13/5; 51/20; 12/5; 13/5; 13/5; 13/5; 13/5; 23/10; 13/5; ; 5/2; 40/17; 5/2; 12/5; ; 5/2; ; 
Reading; 3; 14/5; 14/5; 11/4; 11/4; 14/5; 29/10; 5/2; 14/5; 14/5; 27/10; 14/5; 57/20; 3; 3; 29/10; 37/13; 14/5; 13/5; 37/13; ; 27/10; 45/17; 14/5; 27/10; ; 11/4; ; 
META; english/championship/norwich-v-reading; 2017-04-05 18:20:00 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 10/11; 19/20; 37/40; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 1; 10/11; 9/10; 5/6; ; 1; 10/11; 6/7; 10/11; 8/9; ; 20/21; ; 20/21
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 12/5; 13/5; 13/5; 45/17; 13/5; 27/10; ; 13/5; 5/2; 27/10; 5/2; 11/4; ; 12/5; ; 11/4
Reading; 3; 29/10; 14/5; 11/4; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 27/10; 14/5; 57/20; 3; 3; 29/10; 37/13; 14/5; 14/5; ; 63/20; 27/10; 29/10; 14/5; 3; ; 11/4; ; 3
META; english/championship/norwich-v-reading; 2017-04-05 22:20:31 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 10/11; 19/20; 10/11; 9/10; 5/6; 10/11; 1; 7/8; 6/7; 10/11; 8/9; ; 20/21; ; 20/21
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 12/5; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 5/2; 11/4; ; 12/5; ; 11/4
Reading; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 29/10; 11/4; 14/5; 14/5; 27/10; 14/5; 29/10; 3; 3; 3; 37/13; 14/5; 14/5; 37/13; 63/20; 14/5; 29/10; 14/5; 3; ; 11/4; ; 3
META; english/championship/norwich-v-reading; 2017-04-06 02:20:05 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 10/11; 37/40; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 10/11; 19/20; 10/11; 9/10; 5/6; 10/11; 1; 7/8; 6/7; 10/11; 8/9; ; 20/21; ; 20/21
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 5/2; 11/4; ; 5/2; ; 11/4
Reading; 3; 29/10; 29/10; 11/4; 14/5; 3; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 29/10; 16/5; 3; 3; 37/13; 14/5; 14/5; 37/13; 63/20; 14/5; 29/10; 14/5; 3; ; 14/5; ; 3
META; english/championship/norwich-v-reading; 2017-04-06 06:20:13 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 10/11; 19/20; 10/11; 9/10; 5/6; 10/11; 1; 7/8; 6/7; 10/11; 8/9; ; 10/11; ; 20/21
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 5/2; 11/4; ; 5/2; ; 11/4
Reading; 3; 29/10; 29/10; 11/4; 14/5; 3; 29/10; 11/4; 14/5; 14/5; 27/10; 14/5; 29/10; 16/5; 3; 3; 37/13; 14/5; 14/5; 37/13; 63/20; 14/5; 29/10; 14/5; 3; ; 14/5; ; 3
META; english/championship/norwich-v-reading; 2017-04-06 10:20:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 10/11; 37/40; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 9/10; 5/6; 19/20; 1; 7/8; 6/7; 19/20; 8/9; ; 10/11; ; 1
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 27/10; 5/2; 11/4; ; 5/2; ; 11/4
Reading; 3; 29/10; 29/10; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 11/4; 27/10; 14/5; 14/5; 16/5; 3; 29/10; 11/4; 14/5; 14/5; 11/4; 63/20; 14/5; 29/10; 11/4; 3; ; 3; ; 14/5
META; english/championship/norwich-v-reading; 2017-04-06 14:20:41 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 19/20; 19/20; 10/11; 10/11; 20/21; 10/11; 20/21; 10/11; 10/11; 10/11; 1; 19/20; 9/10; 5/6; 19/20; 1; 15/16; 6/7; 19/20; 8/9; ; 10/11; 10/11; 1
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 27/10; 13/5; 13/5; 13/5; 13/5; 12/5; 5/2; 13/5; 12/5; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 5/2; 11/4; ; 5/2; 5/2; 11/4
Reading; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 29/10; 11/4; 14/5; 13/5; 13/5; 14/5; 14/5; 3; 3; 29/10; 11/4; 14/5; 14/5; 11/4; 63/20; 13/5; 29/10; 11/4; 3; ; 14/5; 14/5; 14/5
META; english/championship/norwich-v-reading; 2017-04-06 18:21:22 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 19/20; 1; 10/11; 10/11; 20/21; 10/11; 20/21; 1; 19/20; 10/11; 19/20; 19/20; 9/10; 5/6; 19/20; 1; 15/16; 6/7; 19/20; 8/9; ; 20/21; 20/21; 1
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 5/2; 11/4; ; 13/5; 5/2; 11/4
Reading; 3; 29/10; 14/5; 11/4; 14/5; 14/5; 29/10; 11/4; 14/5; 13/5; 14/5; 14/5; 14/5; 16/5; 3; 29/10; 11/4; 14/5; 14/5; 11/4; 63/20; 56/19; 29/10; 11/4; 3; ; 14/5; 14/5; 14/5
META; english/championship/norwich-v-reading; 2017-04-06 22:20:31 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Norwich; 10/11; 10/11; 19/20; 1; 20/21; 19/20; 1; 10/11; 10/11; 20/21; 10/11; 20/21; 1; 19/20; 10/11; 19/20; 19/20; 9/10; 5/6; 19/20; 1; 15/16; 6/7; 21/20; 8/9; ; 20/21; 20/21; 20/21
Draw; 12/5; 13/5; 13/5; 12/5; 12/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 5/2; 27/10; 11/4; 11/4; ; 13/5; 5/2; 11/4
Reading; 3; 29/10; 11/4; 11/4; 14/5; 14/5; 29/10; 11/4; 14/5; 11/4; 14/5; 13/5; 14/5; 16/5; 3; 29/10; 14/5; 14/5; 14/5; 14/5; 63/20; 56/19; 29/10; 5/2; 3; ; 14/5; 11/4; 14/5
META; english/championship/norwich-v-reading; 2017-04-07 02:20:53 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
